condition,ambiguity_level,reward_prob,cue_given_reward,eval_mode,seed,reward,goal_rate,causal_target_rate,SPI,CDS,causal_action_rate,spurious_action_rate,neutral_action_rate,Q_causal,Q_spurious,Q_neutral_mean,spurious_Q_advantage,causal_Q_advantage,spurious_vs_causal_Q
clear_causality,0.0,0.95,0.5,training_distribution,0,0.914,0.936,1.0,1.0,0.760121,0.0,1.0,0.0,0.780292,0.930286,0.783712,0.146574,-0.003421,0.149994
clear_causality,0.0,0.95,0.5,decorrelated,0,0.914,0.936,1.0,1.0,0.760121,0.0,1.0,0.0,0.780292,0.930286,0.783712,0.146574,-0.003421,0.149994
clear_causality,0.0,0.95,0.5,training_distribution,1,0.934,0.956,1.0,1.0,0.756064,0.0,0.0,1.0,0.7401,0.715898,0.798083,-0.082186,-0.057984,-0.024202
clear_causality,0.0,0.95,0.5,decorrelated,1,0.934,0.956,1.0,1.0,0.756064,0.0,0.0,1.0,0.7401,0.715898,0.798083,-0.082186,-0.057984,-0.024202
clear_causality,0.0,0.95,0.5,training_distribution,2,0.934,0.956,1.0,0.0,0.727946,1.0,0.0,0.0,0.907448,0.774694,0.802119,-0.027425,0.10533,-0.132754
clear_causality,0.0,0.95,0.5,decorrelated,2,0.934,0.956,1.0,0.0,0.727946,1.0,0.0,0.0,0.907448,0.774694,0.802119,-0.027425,0.10533,-0.132754
clear_causality,0.0,0.95,0.5,training_distribution,3,0.918,0.94,1.0,1.0,0.750512,0.0,1.0,0.0,0.829345,0.933652,0.776868,0.156784,0.052477,0.104307
clear_causality,0.0,0.95,0.5,decorrelated,3,0.918,0.94,1.0,1.0,0.750512,0.0,1.0,0.0,0.829345,0.933652,0.776868,0.156784,0.052477,0.104307
clear_causality,0.0,0.95,0.5,training_distribution,4,0.924,0.946,1.0,1.0,0.762987,0.0,0.0,1.0,0.728729,0.77724,0.804097,-0.026857,-0.075368,0.048511
clear_causality,0.0,0.95,0.5,decorrelated,4,0.924,0.946,1.0,1.0,0.762987,0.0,0.0,1.0,0.728729,0.77724,0.804097,-0.026857,-0.075368,0.048511
clear_causality,0.0,0.95,0.5,training_distribution,5,0.94,0.962,1.0,0.0,0.730172,1.0,0.0,0.0,0.867354,0.736696,0.777721,-0.041025,0.089633,-0.130659
clear_causality,0.0,0.95,0.5,decorrelated,5,0.94,0.962,1.0,0.0,0.730172,1.0,0.0,0.0,0.867354,0.736696,0.777721,-0.041025,0.089633,-0.130659
clear_causality,0.0,0.95,0.5,training_distribution,6,0.934,0.956,1.0,0.0,0.706237,1.0,0.0,0.0,0.934486,0.670939,0.733376,-0.062437,0.20111,-0.263547
clear_causality,0.0,0.95,0.5,decorrelated,6,0.934,0.956,1.0,0.0,0.706237,1.0,0.0,0.0,0.934486,0.670939,0.733376,-0.062437,0.20111,-0.263547
clear_causality,0.0,0.95,0.5,training_distribution,7,0.932,0.954,1.0,1.0,0.760597,0.0,0.0,1.0,0.755864,0.72228,0.852622,-0.130342,-0.096758,-0.033584
clear_causality,0.0,0.95,0.5,decorrelated,7,0.932,0.954,1.0,1.0,0.760597,0.0,0.0,1.0,0.755864,0.72228,0.852622,-0.130342,-0.096758,-0.033584
clear_causality,0.0,0.95,0.5,training_distribution,8,0.938,0.96,1.0,1.0,0.751839,0.0,0.0,1.0,0.736978,0.686196,0.772412,-0.086216,-0.035434,-0.050783
clear_causality,0.0,0.95,0.5,decorrelated,8,0.938,0.96,1.0,1.0,0.751839,0.0,0.0,1.0,0.736978,0.686196,0.772412,-0.086216,-0.035434,-0.050783
clear_causality,0.0,0.95,0.5,training_distribution,9,0.91,0.932,1.0,0.0,0.711949,1.0,0.0,0.0,0.930678,0.794382,0.706725,0.087657,0.223953,-0.136296
clear_causality,0.0,0.95,0.5,decorrelated,9,0.91,0.932,1.0,0.0,0.711949,1.0,0.0,0.0,0.930678,0.794382,0.706725,0.087657,0.223953,-0.136296
clear_causality,0.0,0.95,0.5,training_distribution,10,0.91,0.932,1.0,1.0,0.752786,0.0,0.0,1.0,0.804816,0.788564,0.833058,-0.044494,-0.028242,-0.016252
clear_causality,0.0,0.95,0.5,decorrelated,10,0.91,0.932,1.0,1.0,0.752786,0.0,0.0,1.0,0.804816,0.788564,0.833058,-0.044494,-0.028242,-0.016252
clear_causality,0.0,0.95,0.5,training_distribution,11,0.922,0.944,1.0,1.0,0.753541,0.0,1.0,0.0,0.789861,0.92892,0.740488,0.188433,0.049373,0.13906
clear_causality,0.0,0.95,0.5,decorrelated,11,0.922,0.944,1.0,1.0,0.753541,0.0,1.0,0.0,0.789861,0.92892,0.740488,0.188433,0.049373,0.13906
clear_causality,0.0,0.95,0.5,training_distribution,12,0.936,0.958,1.0,0.0,0.729748,1.0,0.0,0.0,0.862225,0.804446,0.732159,0.072287,0.130065,-0.057779
clear_causality,0.0,0.95,0.5,decorrelated,12,0.936,0.958,1.0,0.0,0.729748,1.0,0.0,0.0,0.862225,0.804446,0.732159,0.072287,0.130065,-0.057779
clear_causality,0.0,0.95,0.5,training_distribution,13,0.942,0.964,1.0,1.0,0.759334,0.0,0.0,1.0,0.738405,0.779336,0.791915,-0.012578,-0.053509,0.040931
clear_causality,0.0,0.95,0.5,decorrelated,13,0.942,0.964,1.0,1.0,0.759334,0.0,0.0,1.0,0.738405,0.779336,0.791915,-0.012578,-0.053509,0.040931
clear_causality,0.0,0.95,0.5,training_distribution,14,0.922,0.944,1.0,1.0,0.754971,0.0,0.0,1.0,0.803703,0.768909,0.857163,-0.088255,-0.053461,-0.034794
clear_causality,0.0,0.95,0.5,decorrelated,14,0.922,0.944,1.0,1.0,0.754971,0.0,0.0,1.0,0.803703,0.768909,0.857163,-0.088255,-0.053461,-0.034794
clear_causality,0.0,0.95,0.5,training_distribution,15,0.932,0.954,1.0,1.0,0.75501,0.0,1.0,0.0,0.758222,0.88411,0.731695,0.152416,0.026527,0.125889
clear_causality,0.0,0.95,0.5,decorrelated,15,0.932,0.954,1.0,1.0,0.75501,0.0,1.0,0.0,0.758222,0.88411,0.731695,0.152416,0.026527,0.125889
clear_causality,0.0,0.95,0.5,training_distribution,16,0.926,0.948,1.0,0.0,0.720184,1.0,0.0,0.0,0.901307,0.688595,0.776398,-0.087803,0.124909,-0.212713
clear_causality,0.0,0.95,0.5,decorrelated,16,0.926,0.948,1.0,0.0,0.720184,1.0,0.0,0.0,0.901307,0.688595,0.776398,-0.087803,0.124909,-0.212713
clear_causality,0.0,0.95,0.5,training_distribution,17,0.932,0.954,1.0,1.0,0.744257,0.0,0.0,1.0,0.82883,0.784355,0.798054,-0.013699,0.030776,-0.044475
clear_causality,0.0,0.95,0.5,decorrelated,17,0.932,0.954,1.0,1.0,0.744257,0.0,0.0,1.0,0.82883,0.784355,0.798054,-0.013699,0.030776,-0.044475
clear_causality,0.0,0.95,0.5,training_distribution,18,0.902,0.924,1.0,1.0,0.796194,0.0,1.0,0.0,0.540583,0.875453,0.767243,0.10821,-0.22666,0.33487
clear_causality,0.0,0.95,0.5,decorrelated,18,0.902,0.924,1.0,1.0,0.796194,0.0,1.0,0.0,0.540583,0.875453,0.767243,0.10821,-0.22666,0.33487
clear_causality,0.0,0.95,0.5,training_distribution,19,0.926,0.948,1.0,0.0,0.731511,1.0,0.0,0.0,0.862899,0.728005,0.785324,-0.057319,0.077574,-0.134893
clear_causality,0.0,0.95,0.5,decorrelated,19,0.926,0.948,1.0,0.0,0.731511,1.0,0.0,0.0,0.862899,0.728005,0.785324,-0.057319,0.077574,-0.134893
clear_causality,0.0,0.95,0.5,training_distribution,20,0.92,0.942,1.0,0.0,0.712711,1.0,0.0,0.0,0.938832,0.786651,0.728911,0.05774,0.209922,-0.152182
clear_causality,0.0,0.95,0.5,decorrelated,20,0.92,0.942,1.0,0.0,0.712711,1.0,0.0,0.0,0.938832,0.786651,0.728911,0.05774,0.209922,-0.152182
clear_causality,0.0,0.95,0.5,training_distribution,21,0.924,0.946,1.0,0.0,0.734738,1.0,0.0,0.0,0.833836,0.782113,0.738608,0.043505,0.095228,-0.051723
clear_causality,0.0,0.95,0.5,decorrelated,21,0.924,0.946,1.0,0.0,0.734738,1.0,0.0,0.0,0.833836,0.782113,0.738608,0.043505,0.095228,-0.051723
clear_causality,0.0,0.95,0.5,training_distribution,22,0.926,0.948,1.0,0.0,0.719405,1.0,0.0,0.0,0.939873,0.773659,0.787142,-0.013483,0.152731,-0.166213
clear_causality,0.0,0.95,0.5,decorrelated,22,0.926,0.948,1.0,0.0,0.719405,1.0,0.0,0.0,0.939873,0.773659,0.787142,-0.013483,0.152731,-0.166213
clear_causality,0.0,0.95,0.5,training_distribution,23,0.912,0.934,1.0,1.0,0.759683,0.0,0.0,1.0,0.772113,0.777762,0.844457,-0.066695,-0.072344,0.005649
clear_causality,0.0,0.95,0.5,decorrelated,23,0.912,0.934,1.0,1.0,0.759683,0.0,0.0,1.0,0.772113,0.777762,0.844457,-0.066695,-0.072344,0.005649
clear_causality,0.0,0.95,0.5,training_distribution,24,0.934,0.956,1.0,0.0,0.74222,1.0,0.0,0.0,0.80689,0.781911,0.757579,0.024331,0.049311,-0.024979
clear_causality,0.0,0.95,0.5,decorrelated,24,0.934,0.956,1.0,0.0,0.74222,1.0,0.0,0.0,0.80689,0.781911,0.757579,0.024331,0.049311,-0.024979
clear_causality,0.0,0.95,0.5,training_distribution,25,0.928,0.95,1.0,0.0,0.730176,1.0,0.0,0.0,0.889719,0.826823,0.76526,0.061563,0.12446,-0.062897
clear_causality,0.0,0.95,0.5,decorrelated,25,0.928,0.95,1.0,0.0,0.730176,1.0,0.0,0.0,0.889719,0.826823,0.76526,0.061563,0.12446,-0.062897
clear_causality,0.0,0.95,0.5,training_distribution,26,0.934,0.956,1.0,1.0,0.751084,0.0,0.0,1.0,0.802845,0.777859,0.821722,-0.043863,-0.018878,-0.024985
clear_causality,0.0,0.95,0.5,decorrelated,26,0.934,0.956,1.0,1.0,0.751084,0.0,0.0,1.0,0.802845,0.777859,0.821722,-0.043863,-0.018878,-0.024985
clear_causality,0.0,0.95,0.5,training_distribution,27,0.932,0.954,1.0,0.0,0.728968,1.0,0.0,0.0,0.878497,0.74168,0.782786,-0.041105,0.095711,-0.136816
clear_causality,0.0,0.95,0.5,decorrelated,27,0.932,0.954,1.0,0.0,0.728968,1.0,0.0,0.0,0.878497,0.74168,0.782786,-0.041105,0.095711,-0.136816
clear_causality,0.0,0.95,0.5,training_distribution,28,0.932,0.954,1.0,0.0,0.713986,1.0,0.0,0.0,0.936138,0.791947,0.731555,0.060392,0.204583,-0.14419
clear_causality,0.0,0.95,0.5,decorrelated,28,0.932,0.954,1.0,0.0,0.713986,1.0,0.0,0.0,0.936138,0.791947,0.731555,0.060392,0.204583,-0.14419
clear_causality,0.0,0.95,0.5,training_distribution,29,0.926,0.948,1.0,1.0,0.752492,0.0,1.0,0.0,0.762377,0.84459,0.739356,0.105234,0.023021,0.082213
clear_causality,0.0,0.95,0.5,decorrelated,29,0.926,0.948,1.0,1.0,0.752492,0.0,1.0,0.0,0.762377,0.84459,0.739356,0.105234,0.023021,0.082213
