comparison,agent_or_contrast,metric,difference,ci95,t_stat,p_value_normal
acquisition,tabular_sarsa,reward_final_vs_random_or_zero,0.389167,0.031858,23.942582,0.0
acquisition,tabular_sarsa,goal_rate_final_vs_random_or_zero,0.389167,0.031858,23.942582,0.0
acquisition,tabular_sarsa,proxy_dependence_final_vs_random_or_zero,0.032086,0.123141,0.510696,0.609564
acquisition,tabular_sarsa,proxy_action_rate_final_vs_random_or_zero,0.220333,0.043441,9.94124,0.0
acquisition,tabular_sarsa,proxy_Q_advantage_final_vs_random_or_zero,-0.006253,0.00445,-2.754204,0.005884
acquisition,dqn,reward_final_vs_random_or_zero,0.389167,0.031858,23.942582,0.0
acquisition,dqn,goal_rate_final_vs_random_or_zero,0.389167,0.031858,23.942582,0.0
acquisition,dqn,proxy_dependence_final_vs_random_or_zero,0.84781,0.068153,24.382207,0.0
acquisition,dqn,proxy_action_rate_final_vs_random_or_zero,0.20375,0.092241,4.329425,1.5e-05
acquisition,dqn,proxy_Q_advantage_final_vs_random_or_zero,0.000424,0.002109,0.393515,0.693939
reversal,tabular_sarsa,reward_final_vs_random_or_zero,0.363333,0.031257,22.783083,0.0
reversal,tabular_sarsa,goal_rate_final_vs_random_or_zero,0.363333,0.031257,22.783083,0.0
reversal,tabular_sarsa,proxy_dependence_final_vs_random_or_zero,-0.001397,0.08062,-0.033961,0.972908
reversal,tabular_sarsa,proxy_action_rate_final_vs_random_or_zero,0.173917,0.056918,5.988935,0.0
reversal,tabular_sarsa,proxy_Q_advantage_final_vs_random_or_zero,-0.003469,0.010631,-0.639557,0.522461
reversal,dqn,reward_final_vs_random_or_zero,0.363333,0.031257,22.783083,0.0
reversal,dqn,goal_rate_final_vs_random_or_zero,0.363333,0.031257,22.783083,0.0
reversal,dqn,proxy_dependence_final_vs_random_or_zero,-0.881384,0.085459,-20.214502,0.0
reversal,dqn,proxy_action_rate_final_vs_random_or_zero,0.211333,0.099854,4.148186,3.4e-05
reversal,dqn,proxy_Q_advantage_final_vs_random_or_zero,0.006707,0.012899,1.019052,0.308178
extinction,tabular_sarsa,reward_final_vs_random_or_zero,0.364167,0.018415,38.760539,0.0
extinction,tabular_sarsa,goal_rate_final_vs_random_or_zero,0.364167,0.018415,38.760539,0.0
extinction,tabular_sarsa,proxy_dependence_final_vs_random_or_zero,-0.092462,0.151382,-1.197136,0.231253
extinction,tabular_sarsa,proxy_action_rate_final_vs_random_or_zero,0.197667,0.035275,10.983138,0.0
extinction,tabular_sarsa,proxy_Q_advantage_final_vs_random_or_zero,-0.005579,0.009013,-1.213259,0.225031
extinction,dqn,reward_final_vs_random_or_zero,0.364167,0.018415,38.760539,0.0
extinction,dqn,goal_rate_final_vs_random_or_zero,0.364167,0.018415,38.760539,0.0
extinction,dqn,proxy_dependence_final_vs_random_or_zero,-0.722989,0.083411,-16.988823,0.0
extinction,dqn,proxy_action_rate_final_vs_random_or_zero,0.169833,0.053548,6.2163,0.0
extinction,dqn,proxy_Q_advantage_final_vs_random_or_zero,-0.003448,0.002904,-2.327212,0.019954
reversal_final_change,tabular_sarsa,proxy_dependence,-0.033482,0.130978,-0.501042,0.616342
reversal_final_change,dqn,proxy_dependence,-1.729195,0.113483,-29.865421,0.0
reversal_final_change,tabular_sarsa,proxy_action_rate,-0.046416,0.06334,-1.436313,0.150913
reversal_final_change,dqn,proxy_action_rate,0.007583,0.136717,0.108716,0.913428
reversal_final_change,tabular_sarsa,proxy_Q_advantage,0.002784,0.012879,0.423719,0.671771
reversal_final_change,dqn,proxy_Q_advantage,0.006283,0.012245,1.005719,0.314551
reversal_final_change,tabular_sarsa,reward,0.005,0.045953,0.21326,0.831124
reversal_final_change,dqn,reward,0.005,0.045953,0.21326,0.831124
reversal_final_change,tabular_sarsa,goal_rate,0.005,0.045953,0.21326,0.831124
reversal_final_change,dqn,goal_rate,0.005,0.045953,0.21326,0.831124
extinction_final_change,tabular_sarsa,proxy_dependence,-0.091065,0.153611,-1.161943,0.245259
extinction_final_change,dqn,proxy_dependence,0.158395,0.10683,2.90608,0.00366
extinction_final_change,tabular_sarsa,proxy_action_rate,0.02375,0.062466,0.745206,0.456147
extinction_final_change,dqn,proxy_action_rate,-0.0415,0.07514,-1.082513,0.279025
extinction_final_change,tabular_sarsa,proxy_Q_advantage,-0.00211,0.011617,-0.355988,0.721849
extinction_final_change,dqn,proxy_Q_advantage,-0.010154,0.012948,-1.537128,0.124262
extinction_final_change,tabular_sarsa,reward,-0.005,0.037262,-0.26301,0.792543
extinction_final_change,dqn,reward,-0.005,0.037262,-0.26301,0.792543
extinction_final_change,tabular_sarsa,goal_rate,-0.005,0.037262,-0.26301,0.792543
extinction_final_change,dqn,goal_rate,-0.005,0.037262,-0.26301,0.792543
agent_comparison,dqn_minus_tabular_sarsa,superstition_persistence_index,-2.700786,3.322079,-1.593442,0.111061
agent_comparison,dqn_minus_tabular_sarsa,reversal_adaptation_half_life,188.888889,154.760189,2.392232,0.016746
agent_comparison,dqn_minus_tabular_sarsa,extinction_half_life,300.0,196.0,3.0,0.0027
