agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
tabular_sarsa,0,acquisition,1,1,0.95,0.05,0.111333,0.133333,0.736667,0.749993,0.263333,0.251667,0.485,-4.1e-05,-5.2e-05,-9.3e-05,4.1e-05,-1e-05,0.02248,-0.029936
tabular_sarsa,0,acquisition,100,100,0.95,0.05,0.486333,0.508333,0.745833,0.749316,0.254167,0.199167,0.546667,0.040484,0.046109,0.032029,0.01408,0.005626,0.103166,0.197326
tabular_sarsa,0,acquisition,200,200,0.95,0.05,0.519667,0.541667,0.740833,0.750839,0.259167,0.298333,0.4425,0.055871,0.06496,0.058018,0.006942,0.009089,-0.109376,0.201608
tabular_sarsa,0,acquisition,300,300,0.95,0.05,0.469667,0.491667,0.7,0.748392,0.3,0.1925,0.5075,0.09933,0.106474,0.083214,0.02326,0.007144,0.20339,0.391525
tabular_sarsa,0,acquisition,400,400,0.95,0.05,0.428,0.45,0.689167,0.749678,0.310833,0.275,0.414167,0.097131,0.107157,0.089659,0.017498,0.010026,-0.194545,0.6
tabular_sarsa,0,acquisition,500,500,0.95,0.05,0.444667,0.466667,0.658333,0.750142,0.341667,0.149167,0.509167,0.131089,0.126273,0.134582,-0.008309,-0.004816,0.112567,0.0971
tabular_sarsa,0,acquisition,600,600,0.95,0.05,0.528,0.55,0.8475,0.754322,0.1525,0.2975,0.55,0.160978,0.186647,0.183677,0.002969,0.025669,0.095954,0.000101
tabular_sarsa,0,acquisition,700,700,0.95,0.05,0.444667,0.466667,0.89,0.753425,0.11,0.3,0.59,0.144743,0.161771,0.164516,-0.002745,0.017028,-0.207221,-0.200429
tabular_sarsa,0,acquisition,800,800,0.95,0.05,0.469667,0.491667,0.75,0.75206,0.25,0.144167,0.605833,0.145735,0.156702,0.157005,-0.000303,0.010967,0.296719,-0.095528
tabular_sarsa,0,acquisition,900,900,0.95,0.05,0.494667,0.516667,0.85,0.751674,0.15,0.496667,0.353333,0.155255,0.169922,0.161195,0.008727,0.014667,-0.104745,-0.188451
tabular_sarsa,0,acquisition,1000,1000,0.95,0.05,0.503,0.525,0.811667,0.751579,0.188333,0.459167,0.3525,0.148968,0.160821,0.155462,0.005359,0.011852,-0.389655,0.291379
tabular_sarsa,0,acquisition,1100,1100,0.95,0.05,0.394667,0.416667,0.745833,0.750176,0.254167,0.161667,0.584167,0.13977,0.135262,0.143175,-0.007913,-0.004507,-0.102969,-0.104269
tabular_sarsa,0,acquisition,1200,1200,0.95,0.05,0.519667,0.541667,0.7475,0.749758,0.2525,0.15,0.5975,0.177768,0.170035,0.180163,-0.010127,-0.007732,0.103559,-0.110315
tabular_sarsa,0,acquisition,1300,1300,0.95,0.05,0.544667,0.566667,0.588333,0.749136,0.411667,0.204167,0.384167,0.208433,0.20768,0.203074,0.004606,-0.000753,0.201312,0.001393
tabular_sarsa,0,acquisition,1400,1400,0.95,0.05,0.486333,0.508333,0.803333,0.752323,0.196667,0.3025,0.500833,0.170321,0.184653,0.18209,0.002563,0.014332,0.003333,0.205
tabular_sarsa,0,acquisition,1500,1500,0.95,0.05,0.461333,0.483333,0.7,0.751903,0.3,0.403333,0.296667,0.179459,0.195556,0.186725,0.008831,0.016098,-0.201414,0.002801
tabular_sarsa,0,acquisition,1600,1600,0.95,0.05,0.469667,0.491667,0.6975,0.750933,0.3025,0.098333,0.599167,0.181188,0.182843,0.188055,-0.005212,0.001654,-0.00414,0.001202
tabular_sarsa,0,acquisition,1700,1700,0.95,0.05,0.486333,0.508333,0.7,0.751233,0.3,0.201667,0.498333,0.18621,0.194703,0.192027,0.002677,0.008493,-0.004,0.400662
tabular_sarsa,0,acquisition,1800,1800,0.95,0.05,0.528,0.55,0.696667,0.751963,0.303333,0.363333,0.333333,0.221646,0.242777,0.227161,0.015616,0.021131,0.002388,0.290253
tabular_sarsa,0,acquisition,1900,1900,0.95,0.05,0.486333,0.508333,0.701667,0.751599,0.298333,0.145,0.556667,0.23002,0.250503,0.23207,0.018433,0.020483,0.008306,0.292437
tabular_sarsa,0,acquisition,2000,2000,0.95,0.05,0.511333,0.533333,0.755,0.750686,0.245,0.255833,0.499167,0.231216,0.247616,0.227594,0.020022,0.0164,-0.098914,0.302705
tabular_sarsa,0,acquisition,2100,2100,0.95,0.05,0.519667,0.541667,0.595833,0.748311,0.404167,0.099167,0.496667,0.238996,0.229371,0.230264,-0.000892,-0.009624,0.002469,-0.004578
tabular_sarsa,0,acquisition,2200,2200,0.95,0.05,0.469667,0.491667,0.756667,0.75049,0.243333,0.2025,0.554167,0.226941,0.223359,0.233141,-0.009782,-0.003583,0.094804,0.008419
tabular_sarsa,0,acquisition,2300,2300,0.95,0.05,0.519667,0.541667,0.6575,0.750417,0.3425,0.299167,0.358333,0.237348,0.238877,0.240852,-0.001975,0.00153,-0.098093,-0.017643
tabular_sarsa,0,acquisition,2400,2400,0.95,0.05,0.494667,0.516667,0.650833,0.748362,0.349167,0.3,0.350833,0.238967,0.235652,0.227377,0.008275,-0.003314,0.111078,-0.205415
tabular_sarsa,0,acquisition,2500,2500,0.95,0.05,0.453,0.475,0.690833,0.748315,0.309167,0.195833,0.495,0.245216,0.244632,0.23184,0.012792,-0.000584,-0.194605,0.198276
tabular_sarsa,0,acquisition,2600,2600,0.95,0.05,0.436333,0.458333,0.8025,0.749135,0.1975,0.2475,0.555,0.235422,0.228225,0.232287,-0.004062,-0.007197,0.003288,-0.09266
