condition,distractor_count,seed,reward,goal_rate,CDS,SPI
distractors_0,0,0,0.978,1.0,0.0,0.0
distractors_0,0,1,0.978,1.0,0.0,0.0
distractors_0,0,2,0.978,1.0,0.0,0.0
distractors_0,0,3,0.978,1.0,0.0,0.0
distractors_0,0,4,0.978,1.0,0.0,0.0
distractors_0,0,5,0.978,1.0,0.0,0.0
distractors_0,0,6,0.978,1.0,0.0,0.0
distractors_0,0,7,0.978,1.0,0.0,0.0
distractors_0,0,8,0.978,1.0,0.0,0.0
distractors_0,0,9,0.978,1.0,0.0,0.0
distractors_0,0,10,0.978,1.0,0.0,0.0
distractors_0,0,11,0.978,1.0,0.0,0.0
distractors_0,0,12,0.978,1.0,0.0,0.0
distractors_0,0,13,0.978,1.0,0.0,0.0
distractors_0,0,14,0.978,1.0,0.0,0.0
distractors_0,0,15,0.978,1.0,0.0,0.0
distractors_0,0,16,0.978,1.0,0.0,0.0
distractors_0,0,17,0.978,1.0,0.0,0.0
distractors_0,0,18,0.978,1.0,0.0,0.0
distractors_0,0,19,0.978,1.0,0.0,0.0
distractors_0,0,20,0.978,1.0,0.0,0.0
distractors_0,0,21,0.978,1.0,0.0,0.0
distractors_0,0,22,0.978,1.0,0.0,0.0
distractors_0,0,23,0.978,1.0,0.0,0.0
distractors_0,0,24,0.978,1.0,0.0,0.0
distractors_0,0,25,0.978,1.0,0.0,0.0
distractors_0,0,26,0.978,1.0,0.0,0.0
distractors_0,0,27,0.978,1.0,0.0,0.0
distractors_0,0,28,0.978,1.0,0.0,0.0
distractors_0,0,29,0.978,1.0,0.0,0.0
distractors_2,2,0,0.978,1.0,0.666667,0.648
distractors_2,2,1,0.978,1.0,0.666667,0.694
distractors_2,2,2,0.978,1.0,0.666667,0.733
distractors_2,2,3,0.978,1.0,0.666667,0.574
distractors_2,2,4,0.978,1.0,0.666667,0.69
distractors_2,2,5,0.978,1.0,0.666667,0.676
distractors_2,2,6,0.978,1.0,0.666667,0.635
distractors_2,2,7,0.978,1.0,0.666667,0.435
distractors_2,2,8,0.978,1.0,0.666667,0.558
distractors_2,2,9,0.978,1.0,0.666667,0.76
distractors_2,2,10,0.978,1.0,0.666667,0.654
distractors_2,2,11,0.978,1.0,0.666667,0.748
distractors_2,2,12,0.978,1.0,0.666667,0.688
distractors_2,2,13,0.978,1.0,0.666667,0.651
distractors_2,2,14,0.978,1.0,0.666667,0.86
distractors_2,2,15,0.978,1.0,0.666667,0.612
distractors_2,2,16,0.978,1.0,0.666667,0.586
distractors_2,2,17,0.978,1.0,0.666667,0.446
distractors_2,2,18,0.978,1.0,0.666667,0.726
distractors_2,2,19,0.978,1.0,0.666667,0.642
distractors_2,2,20,0.978,1.0,0.666667,0.84
distractors_2,2,21,0.978,1.0,0.666667,0.63
distractors_2,2,22,0.978,1.0,0.666667,0.724
distractors_2,2,23,0.978,1.0,0.666667,0.681
distractors_2,2,24,0.978,1.0,0.666667,0.654
distractors_2,2,25,0.978,1.0,0.666667,0.719
distractors_2,2,26,0.978,1.0,0.666667,0.568
distractors_2,2,27,0.978,1.0,0.666667,0.771
distractors_2,2,28,0.978,1.0,0.666667,0.673
distractors_2,2,29,0.978,1.0,0.666667,0.502
distractors_5,5,0,0.978,1.0,0.833334,0.9
distractors_5,5,1,0.978,1.0,0.833333,0.9
distractors_5,5,2,0.978,1.0,0.833333,0.9
distractors_5,5,3,0.978,1.0,0.833333,0.8
distractors_5,5,4,0.978,1.0,0.833333,0.6
distractors_5,5,5,0.978,1.0,0.833333,0.9
distractors_5,5,6,0.978,1.0,0.833333,0.7
distractors_5,5,7,0.978,1.0,0.833333,0.9
distractors_5,5,8,0.978,1.0,0.833334,0.7
distractors_5,5,9,0.978,1.0,0.833333,0.8
distractors_5,5,10,0.978,1.0,0.833333,1.0
distractors_5,5,11,0.978,1.0,0.833333,0.8
distractors_5,5,12,0.978,1.0,0.833334,1.0
distractors_5,5,13,0.978,1.0,0.833333,0.7
distractors_5,5,14,0.978,1.0,0.833334,0.9
distractors_5,5,15,0.978,1.0,0.833333,0.7
distractors_5,5,16,0.978,1.0,0.833333,0.7
distractors_5,5,17,0.978,1.0,0.833333,1.0
distractors_5,5,18,0.978,1.0,0.833333,0.9
distractors_5,5,19,0.978,1.0,0.833333,0.7
distractors_5,5,20,0.978,1.0,0.833333,1.0
distractors_5,5,21,0.978,1.0,0.833333,0.6
distractors_5,5,22,0.978,1.0,0.833333,0.7
distractors_5,5,23,0.978,1.0,0.833333,0.8
distractors_5,5,24,0.978,1.0,0.833334,0.9
distractors_5,5,25,0.978,1.0,0.833333,0.9
distractors_5,5,26,0.978,1.0,0.833333,0.9
distractors_5,5,27,0.978,1.0,0.833333,0.8
distractors_5,5,28,0.978,1.0,0.833333,1.0
distractors_5,5,29,0.978,1.0,0.833333,0.9
distractors_10,10,0,0.978,1.0,0.909083,1.0
distractors_10,10,1,0.978,1.0,0.90908,1.0
distractors_10,10,2,0.978,1.0,0.909134,0.9
distractors_10,10,3,0.978,1.0,0.909114,1.0
distractors_10,10,4,0.978,1.0,0.909074,0.8
distractors_10,10,5,0.978,1.0,0.909124,1.0
distractors_10,10,6,0.978,1.0,0.909132,0.9
distractors_10,10,7,0.978,1.0,0.909078,0.9
distractors_10,10,8,0.978,1.0,0.909076,0.9
distractors_10,10,9,0.978,1.0,0.909079,1.0
distractors_10,10,10,0.978,1.0,0.909043,1.0
distractors_10,10,11,0.978,1.0,0.909077,0.7
distractors_10,10,12,0.978,1.0,0.90904,1.0
distractors_10,10,13,0.978,1.0,0.909144,1.0
distractors_10,10,14,0.978,1.0,0.909138,1.0
distractors_10,10,15,0.978,1.0,0.909088,1.0
distractors_10,10,16,0.978,1.0,0.90919,1.0
distractors_10,10,17,0.978,1.0,0.909056,0.9
distractors_10,10,18,0.978,1.0,0.909064,0.8
distractors_10,10,19,0.978,1.0,0.909102,1.0
distractors_10,10,20,0.978,1.0,0.909097,1.0
distractors_10,10,21,0.978,1.0,0.909137,0.8
distractors_10,10,22,0.978,1.0,0.909076,1.0
distractors_10,10,23,0.978,1.0,0.909065,0.8
distractors_10,10,24,0.978,1.0,0.909097,0.9
distractors_10,10,25,0.978,1.0,0.909072,0.9
distractors_10,10,26,0.978,1.0,0.90905,1.0
distractors_10,10,27,0.978,1.0,0.909091,0.8
distractors_10,10,28,0.978,1.0,0.909125,0.9
distractors_10,10,29,0.978,1.0,0.909072,1.0
