condition,proxy_strength,p_proxy_given_reward,p_proxy_given_no_reward,eval_mode,agent_type,seed,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,0,0.492,0.514,0.8516,0.751,0.1484,0.4488,0.4028,0.286388,0.295426,0.289356,0.00607,0.009038,0.088741,0.087776
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,0,0.492,0.514,0.8516,0.751,0.1484,0.4488,0.4028,0.286388,0.295426,0.289356,0.00607,0.009038,0.088741,0.087776
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,1,0.498,0.52,0.8096,0.752642,0.1904,0.2012,0.6084,0.275558,0.278749,0.294691,-0.015941,0.003192,0.012991,-0.207044
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,1,0.498,0.52,0.8096,0.752642,0.1904,0.2012,0.6084,0.275558,0.278749,0.294691,-0.015941,0.003192,0.012991,-0.207044
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,2,0.516,0.538,0.7508,0.749973,0.2492,0.2506,0.5002,0.306617,0.304491,0.307264,-0.002774,-0.002126,0.092644,-0.099039
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,2,0.516,0.538,0.7508,0.749973,0.2492,0.2506,0.5002,0.306617,0.304491,0.307264,-0.002774,-0.002126,0.092644,-0.099039
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,3,0.47,0.492,0.6492,0.747129,0.3508,0.245,0.4042,0.328361,0.324442,0.307558,0.016884,-0.003919,-0.109727,0.101037
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,3,0.47,0.492,0.6492,0.747129,0.3508,0.245,0.4042,0.328361,0.324442,0.307558,0.016884,-0.003919,-0.109727,0.101037
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,4,0.48,0.502,0.545,0.743967,0.455,0.1592,0.3858,0.328901,0.296989,0.298457,-0.001468,-0.031912,0.10798,0.091351
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,4,0.48,0.502,0.545,0.743967,0.455,0.1592,0.3858,0.328901,0.296989,0.298457,-0.001468,-0.031912,0.10798,0.091351
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,5,0.476,0.498,0.7514,0.751515,0.2486,0.1956,0.5558,0.301949,0.306094,0.311382,-0.005288,0.004145,-0.09161,-0.000348
