condition,proxy_strength,agent_type,eval_mode,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
no_proxy,0.0,memoryless_agent,training_distribution_eval,30,0.479933,0.006733,0.501933,0.006733,0.724687,0.030557,0.749434,0.000842,0.275313,0.030557,0.2393,0.03501,0.485387,0.034305,0.305735,0.005628,0.302152,0.00496,0.303015,0.004203,-0.000863,0.005139,-0.003583,0.005881,-0.00891,0.052172,0.022737,0.061307
no_proxy,0.0,memoryless_agent,decorrelated_eval,30,0.479933,0.006733,0.501933,0.006733,0.724687,0.030557,0.749434,0.000842,0.275313,0.030557,0.2393,0.03501,0.485387,0.034305,0.305735,0.005628,0.302152,0.00496,0.303015,0.004203,-0.000863,0.005139,-0.003583,0.005881,-0.00891,0.052172,0.022737,0.061307
no_proxy,0.0,memory_agent,training_distribution_eval,30,0.479933,0.006733,0.501933,0.006733,0.74954,0.024448,0.749683,0.000573,0.25046,0.024448,0.25434,0.022906,0.4952,0.030142,0.300089,0.003211,0.29925,0.003498,0.297972,0.003648,0.001278,0.003492,-0.00084,0.002787,0.036512,0.049043,-0.017518,0.054062
no_proxy,0.0,memory_agent,decorrelated_eval,30,0.479933,0.006733,0.501933,0.006733,0.74954,0.024448,0.749683,0.000573,0.25046,0.024448,0.25434,0.022906,0.4952,0.030142,0.300089,0.003211,0.29925,0.003498,0.297972,0.003648,0.001278,0.003492,-0.00084,0.002787,0.036512,0.049043,-0.017518,0.054062
weak_proxy,0.3,memoryless_agent,training_distribution_eval,30,0.479933,0.006733,0.501933,0.006733,0.713573,0.041071,0.749161,0.000764,0.286427,0.041071,0.228107,0.040651,0.485467,0.04159,0.306298,0.005267,0.301239,0.005518,0.302181,0.004001,-0.000942,0.006159,-0.005059,0.006029,-0.027185,0.077581,-0.051522,0.053824
weak_proxy,0.3,memoryless_agent,decorrelated_eval,30,0.479933,0.006733,0.501933,0.006733,0.712593,0.041143,0.749139,0.00077,0.287407,0.041143,0.22806,0.040475,0.484533,0.041211,0.306571,0.005263,0.301426,0.005423,0.302322,0.003959,-0.000895,0.006149,-0.005145,0.006078,-0.026937,0.078072,-0.052661,0.053659
weak_proxy,0.3,memory_agent,training_distribution_eval,30,0.479933,0.006733,0.501933,0.006733,0.764393,0.022074,0.750048,0.000513,0.235607,0.022074,0.26128,0.025403,0.503113,0.025091,0.297666,0.00354,0.299485,0.003302,0.297032,0.002818,0.002454,0.003377,0.001819,0.003564,0.00811,0.045582,0.012742,0.035494
weak_proxy,0.3,memory_agent,decorrelated_eval,30,0.479933,0.006733,0.501933,0.006733,0.762693,0.022633,0.750037,0.000536,0.237307,0.022633,0.260487,0.026535,0.502207,0.025534,0.297729,0.003441,0.29954,0.003314,0.29701,0.002795,0.00253,0.003574,0.001811,0.003814,0.01112,0.045645,0.009821,0.035202
medium_proxy,0.6,memoryless_agent,training_distribution_eval,30,0.479933,0.006733,0.501933,0.006733,0.76352,0.03962,0.749785,0.000658,0.23648,0.03962,0.274333,0.031414,0.489187,0.034638,0.301643,0.005017,0.303368,0.003887,0.299178,0.003253,0.00419,0.003967,0.001725,0.003944,0.033817,0.067085,-0.031425,0.055523
medium_proxy,0.6,memoryless_agent,decorrelated_eval,30,0.479933,0.006733,0.501933,0.006733,0.76282,0.039341,0.749729,0.000658,0.23718,0.039341,0.274733,0.030867,0.488087,0.034608,0.302708,0.004758,0.304144,0.003696,0.299948,0.003124,0.004196,0.00397,0.001436,0.003888,0.033413,0.067604,-0.03102,0.055891
