phase,seed,random_reward,random_goal_rate
acquisition,0,0.091333,0.113333
reversal,0,0.108,0.13
extinction,0,0.104667,0.126667
acquisition,1,0.091333,0.113333
reversal,1,0.094667,0.116667
extinction,1,0.081333,0.103333
acquisition,2,0.101333,0.123333
reversal,2,0.114667,0.136667
extinction,2,0.104667,0.126667
acquisition,3,0.134667,0.156667
reversal,3,0.104667,0.126667
extinction,3,0.124667,0.146667
acquisition,4,0.064667,0.086667
reversal,4,0.091333,0.113333
extinction,4,0.078,0.1
acquisition,5,0.131333,0.153333
reversal,5,0.154667,0.176667
extinction,5,0.074667,0.096667
acquisition,6,0.078,0.1
reversal,6,0.074667,0.096667
extinction,6,0.121333,0.143333
acquisition,7,0.121333,0.143333
reversal,7,0.111333,0.133333
extinction,7,0.138,0.16
acquisition,8,0.101333,0.123333
reversal,8,0.094667,0.116667
extinction,8,0.088,0.11
acquisition,9,0.108,0.13
reversal,9,0.108,0.13
extinction,9,0.091333,0.113333
