comparison,contrast,metric,difference,ci95,t_stat,p_value_normal
acquisition,phase_only_vs_full_current_features,reward,0.0,0.0,0.0,1.0
acquisition,phase_only_vs_full_current_features,goal_rate,0.0,0.0,0.0,1.0
acquisition,phase_only_vs_full_current_features,abs_proxy_dependence,-0.926937,0.042134,-43.119031,0.0
acquisition,phase_only_vs_full_current_features,proxy_dependence,-0.930248,0.04285,-42.550915,0.0
acquisition,phase_only_vs_full_current_features,proxy_action_rate,-0.043067,0.137038,-0.615964,0.537918
acquisition,phase_only_vs_full_current_features,proxy_Q_advantage,-0.000263,0.001335,-0.385945,0.699537
reversal,phase_only_vs_full_current_features,reward,0.0,0.0,0.0,1.0
reversal,phase_only_vs_full_current_features,goal_rate,0.0,0.0,0.0,1.0
reversal,phase_only_vs_full_current_features,abs_proxy_dependence,-0.841792,0.072873,-22.640954,0.0
reversal,phase_only_vs_full_current_features,proxy_dependence,0.852854,0.072593,23.026989,0.0
reversal,phase_only_vs_full_current_features,proxy_action_rate,-0.176733,0.143847,-2.408102,0.016036
reversal,phase_only_vs_full_current_features,proxy_Q_advantage,-0.013459,0.012707,-2.076031,0.037891
extinction,phase_only_vs_full_current_features,reward,0.0,0.0,0.0,1.0
extinction,phase_only_vs_full_current_features,goal_rate,0.0,0.0,0.0,1.0
extinction,phase_only_vs_full_current_features,abs_proxy_dependence,-0.673393,0.072077,-18.311765,0.0
extinction,phase_only_vs_full_current_features,proxy_dependence,0.691592,0.071821,18.873641,0.0
extinction,phase_only_vs_full_current_features,proxy_action_rate,-0.105767,0.111822,-1.853858,0.06376
extinction,phase_only_vs_full_current_features,proxy_Q_advantage,-0.001826,0.00706,-0.50688,0.612239
persistence,phase_only_vs_full_current_features,reversal_adaptation_half_life,5.777778,295.123181,0.038372,0.969391
persistence,phase_only_vs_full_current_features,extinction_half_life,-112.5,175.45441,-1.256737,0.208849
persistence,phase_only_vs_full_current_features,superstition_persistence_index,,,,
acquisition,proxy_only_vs_full_current_features,reward,-0.015333,0.010984,-2.736037,0.006218
acquisition,proxy_only_vs_full_current_features,goal_rate,-0.015333,0.010984,-2.736037,0.006218
acquisition,proxy_only_vs_full_current_features,abs_proxy_dependence,-0.430197,0.335984,-2.509605,0.012087
acquisition,proxy_only_vs_full_current_features,proxy_dependence,-0.430197,0.335984,-2.509605,0.012087
acquisition,proxy_only_vs_full_current_features,proxy_action_rate,-0.113133,0.114928,-1.92939,0.053683
acquisition,proxy_only_vs_full_current_features,proxy_Q_advantage,-0.001146,0.002379,-0.94356,0.345395
reversal,proxy_only_vs_full_current_features,reward,-0.014667,0.010037,-2.86415,0.004181
reversal,proxy_only_vs_full_current_features,goal_rate,-0.014667,0.010037,-2.86415,0.004181
reversal,proxy_only_vs_full_current_features,abs_proxy_dependence,-0.349874,0.341105,-2.010387,0.04439
reversal,proxy_only_vs_full_current_features,proxy_dependence,0.349874,0.341105,2.010387,0.04439
reversal,proxy_only_vs_full_current_features,proxy_action_rate,-0.061233,0.180974,-0.663175,0.507219
reversal,proxy_only_vs_full_current_features,proxy_Q_advantage,-0.011784,0.01847,-1.250495,0.211119
extinction,proxy_only_vs_full_current_features,reward,-0.2,0.06812,-5.754587,0.0
extinction,proxy_only_vs_full_current_features,goal_rate,-0.2,0.06812,-5.754587,0.0
extinction,proxy_only_vs_full_current_features,abs_proxy_dependence,0.111186,0.303413,0.718243,0.472608
extinction,proxy_only_vs_full_current_features,proxy_dependence,-0.111186,0.303413,-0.718243,0.472608
extinction,proxy_only_vs_full_current_features,proxy_action_rate,-0.124267,0.16041,-1.518377,0.128919
extinction,proxy_only_vs_full_current_features,proxy_Q_advantage,-0.002484,0.010125,-0.48084,0.63063
persistence,proxy_only_vs_full_current_features,reversal_adaptation_half_life,-230.0,154.744865,-2.913182,0.003578
persistence,proxy_only_vs_full_current_features,extinction_half_life,-500.0,0.0,0.0,1.0
persistence,proxy_only_vs_full_current_features,superstition_persistence_index,-0.154233,0.434427,-0.695852,0.486522
acquisition,phase_plus_proxy_vs_full_current_features,reward,0.0,0.0,0.0,1.0
acquisition,phase_plus_proxy_vs_full_current_features,goal_rate,0.0,0.0,0.0,1.0
acquisition,phase_plus_proxy_vs_full_current_features,abs_proxy_dependence,0.009584,0.054288,0.346016,0.729331
acquisition,phase_plus_proxy_vs_full_current_features,proxy_dependence,0.009584,0.054288,0.346016,0.729331
acquisition,phase_plus_proxy_vs_full_current_features,proxy_action_rate,-0.0386,0.127619,-0.592825,0.553298
