feature_condition,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
phase_only,0,acquisition,1,1,0.95,0.05,0.508,0.53,1.0,0.752866,0.0,0.0,1.0,-0.009931,0.005531,0.005189,0.000342,0.015462,0.0,0.0,0.0
phase_only,0,acquisition,100,100,0.95,0.05,0.491333,0.513333,0.1,0.745053,0.9,0.0,0.1,0.075688,0.049067,0.049819,-0.000752,-0.026621,0.003734,0.003734,0.0
phase_only,0,acquisition,200,200,0.95,0.05,0.414667,0.436667,0.2,0.745059,0.8,0.0,0.2,0.135206,0.108395,0.109588,-0.001193,-0.026811,-0.00459,0.00459,0.0
phase_only,0,acquisition,300,300,0.95,0.05,0.448,0.47,0.3,0.745929,0.7,0.0,0.3,0.194237,0.172795,0.172904,-0.000109,-0.021442,0.005628,0.005628,0.0
phase_only,0,acquisition,400,400,0.95,0.05,0.418,0.44,0.3,0.746544,0.7,0.0,0.3,0.238214,0.220345,0.220007,0.000338,-0.017869,-0.008355,0.008355,0.0
phase_only,0,acquisition,500,500,0.95,0.05,0.511333,0.533333,0.3,0.745832,0.7,0.0,0.3,0.285766,0.262233,0.264827,-0.002594,-0.023533,-0.004146,0.004146,0.0
phase_only,0,acquisition,600,600,0.95,0.05,0.504667,0.526667,0.4,0.746876,0.6,0.0,0.4,0.32443,0.305648,0.309419,-0.00377,-0.018782,0.014159,0.014159,0.0
phase_only,0,acquisition,700,700,0.95,0.05,0.441333,0.463333,0.4,0.747091,0.6,0.0,0.4,0.356839,0.340985,0.34209,-0.001105,-0.015855,-0.005888,0.005888,0.0
phase_only,0,acquisition,800,800,0.95,0.05,0.491333,0.513333,0.4,0.748532,0.6,0.0,0.4,0.371687,0.36379,0.364372,-0.000582,-0.007897,0.000533,0.000533,0.0
phase_only,0,acquisition,900,900,0.95,0.05,0.474667,0.496667,0.5,0.74879,0.5,0.4,0.1,0.384972,0.380027,0.378214,0.001813,-0.004945,-0.004667,0.004667,-0.0016
phase_only,0,acquisition,1000,1000,0.95,0.05,0.471333,0.493333,0.4,0.748821,0.6,0.0,0.4,0.392378,0.386664,0.386221,0.000443,-0.005714,-0.008535,0.008535,0.0
phase_only,0,acquisition,1100,1100,0.95,0.05,0.434667,0.456667,0.5,0.750019,0.5,0.2,0.3,0.382854,0.384123,0.382694,0.001429,0.00127,-0.000671,0.000671,-0.000537
phase_only,0,acquisition,1200,1200,0.95,0.05,0.444667,0.466667,0.5,0.750213,0.5,0.3,0.2,0.37906,0.381589,0.379788,0.001801,0.002529,-0.012047,0.012047,0.014992
phase_only,0,acquisition,1300,1300,0.95,0.05,0.491333,0.513333,0.5,0.749632,0.5,0.4,0.1,0.377598,0.377111,0.375188,0.001923,-0.000488,-0.004001,0.004001,0.004801
phase_only,0,acquisition,1400,1400,0.95,0.05,0.478,0.5,0.5,0.749016,0.5,0.0,0.5,0.380507,0.37515,0.375624,-0.000474,-0.005358,-0.004,0.004,0.0
phase_only,0,acquisition,1500,1500,0.95,0.05,0.464667,0.486667,0.5,0.749546,0.5,0.0,0.5,0.377282,0.375058,0.375048,1e-05,-0.002224,0.012676,0.012676,0.0
phase_only,0,acquisition,1600,1600,0.95,0.05,0.494667,0.516667,0.4,0.748759,0.6,0.1,0.3,0.378851,0.373015,0.372137,0.000877,-0.005836,0.013337,0.013337,-0.003334
