feature_condition,phase,checkpoint,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,abs_proxy_dependence_mean,abs_proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
phase_only,acquisition,final,10,0.481667,0.011124,0.503667,0.011124,0.42,0.0392,0.748217,0.000759,0.58,0.0392,0.12,0.119758,0.3,0.120469,0.377707,0.012599,0.368126,0.009565,0.368506,0.00981,-0.00038,0.000467,-0.009581,0.003997,-5.1e-05,0.003078,0.00326,0.002222,-0.001579,0.003167
phase_only,reversal,final,10,0.498667,0.015668,0.520667,0.015668,0.38,0.081601,0.747822,0.001207,0.62,0.081601,0.08,0.10854,0.3,0.058436,0.367267,0.005403,0.355344,0.004,0.356076,0.003836,-0.000732,0.000979,-0.011923,0.006602,0.00298,0.006002,0.008082,0.003454,-0.000132,0.001377
phase_only,extinction,final,10,0.482333,0.014513,0.504333,0.014513,0.27,0.051027,0.746196,0.00095,0.73,0.051027,0.12,0.086674,0.15,0.102263,0.368558,0.009184,0.348239,0.006366,0.34866,0.00577,-0.000421,0.001192,-0.020319,0.004741,0.002778,0.011386,0.015421,0.005606,-0.004937,0.005884
proxy_only,acquisition,final,10,0.466333,0.012558,0.488333,0.012558,0.244433,0.1598,0.741212,0.000543,0.755567,0.1598,0.049933,0.097869,0.1945,0.15572,0.327896,0.004705,0.281172,0.004168,0.282435,0.003786,-0.001263,0.002147,-0.046724,0.00317,0.5,0.326667,0.5,0.326667,-0.1,0.196
proxy_only,reversal,final,10,0.484,0.023693,0.506,0.023693,0.2471,0.16159,0.72957,0.002723,0.7529,0.16159,0.1955,0.156508,0.0516,0.101136,0.293415,0.026037,0.190072,0.013179,0.189129,0.014709,0.000943,0.009019,-0.103342,0.015795,-0.5,0.326667,0.5,0.326667,0.4,0.320067
proxy_only,extinction,final,10,0.282333,0.067462,0.304333,0.067462,0.4037,0.132004,0.744853,0.00358,0.5963,0.132004,0.1015,0.132628,0.3022,0.161308,0.203267,0.038842,0.176098,0.022159,0.177177,0.021763,-0.001079,0.004316,-0.027169,0.01823,-0.8,0.261333,0.8,0.261333,0.2,0.261333
phase_plus_proxy,acquisition,final,10,0.481667,0.011124,0.503667,0.011124,0.525533,0.016227,0.766041,0.000622,0.474467,0.016227,0.124467,0.088122,0.401067,0.087436,0.316966,0.005382,0.409657,0.006875,0.409097,0.007162,0.00056,0.00069,0.09269,0.003418,0.939781,0.032131,0.939781,0.032131,-0.230573,0.160435
phase_plus_proxy,reversal,final,10,0.498667,0.015668,0.520667,0.015668,0.538433,0.009476,0.758792,0.001272,0.461567,0.009476,0.246533,0.117692,0.2919,0.114506,0.352041,0.007682,0.403518,0.009962,0.406415,0.010176,-0.002897,0.010404,0.051476,0.007726,-0.890122,0.019503,0.890122,0.019503,0.438701,0.285099
phase_plus_proxy,extinction,final,10,0.482333,0.014513,0.504333,0.014513,0.6921,0.012422,0.757756,0.000767,0.3079,0.012422,0.218,0.124574,0.4741,0.118627,0.30586,0.006727,0.347814,0.007628,0.349146,0.007795,-0.001332,0.00788,0.041954,0.008163,-0.622189,0.024635,0.622189,0.024635,0.268098,0.327416
phase_sin_cos_plus_proxy,acquisition,final,10,0.481667,0.011124,0.503667,0.011124,0.542433,0.01971,0.751454,0.000542,0.457567,0.01971,0.105167,0.051059,0.437267,0.059344,0.362027,0.0068,0.373259,0.00689,0.37653,0.00811,-0.003271,0.002514,0.011232,0.003146,0.552168,0.032219,0.552168,0.032219,-0.072594,0.083533
