agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
tabular_sarsa,0,acquisition,1,1,0.95,0.05,0.108,0.13,0.745667,0.749994,0.254333,0.256333,0.489333,-3.9e-05,-4.9e-05,-8.6e-05,3.8e-05,-9e-06,-0.003241,0.003241,-0.016533
tabular_sarsa,0,acquisition,100,100,0.95,0.05,0.501333,0.523333,0.594333,0.748192,0.405667,0.195667,0.398667,0.043703,0.036295,0.03342,0.002875,-0.007408,0.199989,0.199989,-0.199555
tabular_sarsa,0,acquisition,200,200,0.95,0.05,0.458,0.48,0.755667,0.750355,0.244333,0.098333,0.657333,0.048335,0.046569,0.05221,-0.005641,-0.001766,0.30197,0.30197,-0.008526
tabular_sarsa,0,acquisition,300,300,0.95,0.05,0.478,0.5,0.801333,0.75049,0.198667,0.302667,0.498667,0.068803,0.06899,0.072526,-0.003535,0.000187,0.204792,0.204792,-0.004772
tabular_sarsa,0,acquisition,400,400,0.95,0.05,0.464667,0.486667,0.649667,0.748449,0.350333,0.200333,0.449333,0.097866,0.087838,0.09049,-0.002653,-0.010029,-0.097268,0.097268,0.00814
tabular_sarsa,0,acquisition,500,500,0.95,0.05,0.461333,0.483333,0.596333,0.749107,0.403667,0.149333,0.447,0.096427,0.095862,0.089641,0.006221,-0.000565,-0.399708,0.399708,0.096438
tabular_sarsa,0,acquisition,600,600,0.95,0.05,0.544667,0.566667,0.543667,0.746458,0.456333,0.208333,0.335333,0.147085,0.125555,0.129084,-0.003529,-0.02153,0.110501,0.110501,0.193764
tabular_sarsa,0,acquisition,700,700,0.95,0.05,0.471333,0.493333,0.697,0.746897,0.303,0.297667,0.399333,0.151698,0.140291,0.132408,0.007883,-0.011407,-0.203422,0.203422,0.397889
tabular_sarsa,0,acquisition,800,800,0.95,0.05,0.424667,0.446667,0.545,0.746481,0.455,0.244,0.301,0.171053,0.154298,0.150779,0.003519,-0.016755,-0.099768,0.099768,0.09934
tabular_sarsa,0,acquisition,900,900,0.95,0.05,0.514667,0.536667,0.802,0.74902,0.198,0.398,0.404,0.175187,0.176442,0.166517,0.009925,0.001256,0.003006,0.003006,-0.010413
tabular_sarsa,0,acquisition,1000,1000,0.95,0.05,0.511333,0.533333,0.797,0.749288,0.203,0.348,0.449,0.161656,0.167211,0.153176,0.014035,0.005555,0.201008,0.201008,-0.098195
tabular_sarsa,0,acquisition,1100,1100,0.95,0.05,0.454667,0.476667,0.858333,0.750331,0.141667,0.394,0.464333,0.156377,0.162115,0.156217,0.005898,0.005738,0.299296,0.299296,0.20394
tabular_sarsa,0,acquisition,1200,1200,0.95,0.05,0.491333,0.513333,0.845,0.751018,0.155,0.245667,0.599333,0.166442,0.168044,0.173671,-0.005627,0.001601,0.10323,0.10323,-0.100858
tabular_sarsa,0,acquisition,1300,1300,0.95,0.05,0.501333,0.523333,0.753333,0.748926,0.246667,0.301333,0.452,0.196041,0.192243,0.189455,0.002788,-0.003798,-0.096553,0.096553,0.007375
tabular_sarsa,0,acquisition,1400,1400,0.95,0.05,0.498,0.52,0.654,0.750038,0.346,0.297333,0.356667,0.206504,0.209133,0.206136,0.002997,0.002628,-0.299015,0.299015,-0.001951
tabular_sarsa,0,acquisition,1500,1500,0.95,0.05,0.481333,0.503333,0.753333,0.749749,0.246667,0.298667,0.454667,0.206731,0.207188,0.204355,0.002834,0.000457,-0.104944,0.104944,-0.19666
tabular_sarsa,0,acquisition,1600,1600,0.95,0.05,0.498,0.52,0.704667,0.751526,0.295333,0.251,0.453667,0.21765,0.231905,0.223264,0.008641,0.014255,-0.0043,0.0043,-0.101449
tabular_sarsa,0,acquisition,1700,1700,0.95,0.05,0.484667,0.506667,0.796667,0.752015,0.203333,0.499667,0.297,0.20065,0.225333,0.204417,0.020916,0.024683,-0.204841,0.204841,0.215343
tabular_sarsa,0,acquisition,1800,1800,0.95,0.05,0.488,0.51,0.949667,0.75301,0.050333,0.446667,0.503,0.216997,0.25915,0.218466,0.040684,0.042153,0.098952,0.098952,0.107214
tabular_sarsa,0,acquisition,1900,1900,0.95,0.05,0.468,0.49,0.847667,0.750279,0.152333,0.251333,0.596333,0.216411,0.222563,0.215841,0.006722,0.006152,-0.100552,0.100552,0.099848
tabular_sarsa,0,acquisition,2000,2000,0.95,0.05,0.468,0.49,0.749667,0.750543,0.250333,0.102333,0.647333,0.216853,0.22041,0.219482,0.000928,0.003557,0.102735,0.102735,-0.001362
tabular_sarsa,0,acquisition,2100,2100,0.95,0.05,0.498,0.52,0.687667,0.747145,0.312333,0.239667,0.448,0.263757,0.247497,0.250739,-0.003242,-0.01626,0.205632,0.205632,-0.290967
tabular_sarsa,0,acquisition,2200,2200,0.95,0.05,0.451333,0.473333,0.753667,0.751721,0.246333,0.258667,0.495,0.235537,0.248068,0.242827,0.005241,0.012531,0.103227,0.103227,-0.09804
tabular_sarsa,0,acquisition,2300,2300,0.95,0.05,0.498,0.52,0.755,0.752241,0.245,0.353667,0.401333,0.250393,0.265689,0.261376,0.004312,0.015296,-0.100772,0.100772,-0.099116
tabular_sarsa,0,acquisition,2400,2400,0.95,0.05,0.478,0.5,0.752333,0.753109,0.247667,0.205,0.547333,0.258826,0.278699,0.274649,0.00405,0.019873,0.104645,0.104645,-0.001147
tabular_sarsa,0,acquisition,2500,2500,0.95,0.05,0.464667,0.486667,0.602667,0.749836,0.397333,0.150667,0.452,0.258872,0.258505,0.258086,0.000419,-0.000367,0.200765,0.200765,-0.100199
tabular_sarsa,0,acquisition,2600,2600,0.95,0.05,0.468,0.49,0.708,0.74853,0.292,0.202,0.506,0.262205,0.247973,0.257953,-0.00998,-0.014233,0.185633,0.185633,0.00621
tabular_sarsa,0,acquisition,2700,2700,0.95,0.05,0.481333,0.503333,0.848333,0.750446,0.151667,0.200333,0.648,0.269055,0.267165,0.274175,-0.00701,-0.00189,0.100109,0.100109,0.00706
tabular_sarsa,0,acquisition,2800,2800,0.95,0.05,0.448,0.47,0.703667,0.748895,0.296333,0.199,0.504667,0.271922,0.267035,0.266376,0.000659,-0.004887,0.197246,0.197246,-0.005858
tabular_sarsa,0,acquisition,2900,2900,0.95,0.05,0.474667,0.496667,0.647333,0.746791,0.352667,0.15,0.497333,0.310582,0.284485,0.298763,-0.014278,-0.026097,0.305412,0.305412,-0.1034
tabular_sarsa,0,acquisition,3000,3000,0.95,0.05,0.461333,0.483333,0.647667,0.749775,0.352333,0.354667,0.293,0.274109,0.277076,0.270844,0.006232,0.002968,-0.29772,0.29772,-0.30228
tabular_sarsa,0,reversal,1,3001,0.05,0.95,0.494667,0.516667,0.594,0.749475,0.406,0.259333,0.334667,0.270459,0.270581,0.266249,0.004332,0.000122,-0.195291,0.195291,-0.5
tabular_sarsa,0,reversal,100,3100,0.05,0.95,0.468,0.49,0.602333,0.742076,0.397667,0.148333,0.454,0.308169,0.290457,0.25769,0.032767,-0.017712,-0.195318,0.195318,-0.302721
tabular_sarsa,0,reversal,200,3200,0.05,0.95,0.474667,0.496667,0.551333,0.741397,0.448667,0.147667,0.403667,0.27994,0.249873,0.22945,0.020424,-0.030067,-0.098649,0.098649,-0.299324
tabular_sarsa,0,reversal,300,3300,0.05,0.95,0.424667,0.446667,0.717,0.744781,0.283,0.355,0.362,0.257286,0.247267,0.222483,0.024784,-0.010019,-0.39952,0.39952,0.102675
tabular_sarsa,0,reversal,400,3400,0.05,0.95,0.471333,0.493333,0.602,0.746149,0.398,0.247667,0.354333,0.245725,0.237347,0.220391,0.016957,-0.008378,-0.193447,0.193447,-0.104302
tabular_sarsa,0,reversal,500,3500,0.05,0.95,0.488,0.51,0.550667,0.744518,0.449333,0.250667,0.3,0.268302,0.248669,0.237015,0.011654,-0.019633,-0.10604,0.10604,-0.097698
tabular_sarsa,0,reversal,600,3600,0.05,0.95,0.478,0.5,0.599333,0.745693,0.400667,0.246,0.353333,0.261665,0.255817,0.233072,0.022746,-0.005848,-0.206133,0.206133,-0.103672
tabular_sarsa,0,reversal,700,3700,0.05,0.95,0.514667,0.536667,0.690333,0.748522,0.309667,0.256333,0.434,0.273163,0.279294,0.260162,0.019132,0.006131,-0.389134,0.389134,-0.11401
tabular_sarsa,0,reversal,800,3800,0.05,0.95,0.494667,0.516667,0.592,0.74792,0.408,0.099667,0.492333,0.264224,0.257819,0.252857,0.004962,-0.006405,-0.205028,0.205028,-0.003359
tabular_sarsa,0,reversal,900,3900,0.05,0.95,0.498,0.52,0.642667,0.749351,0.357333,0.101,0.541667,0.279606,0.278221,0.276542,0.001679,-0.001386,-0.299262,0.299262,0.005176
tabular_sarsa,0,reversal,1000,4000,0.05,0.95,0.454667,0.476667,0.648333,0.748262,0.351667,0.196333,0.452,0.267328,0.257585,0.259364,-0.001779,-0.009743,-0.104701,0.104701,-0.003355
tabular_sarsa,0,reversal,1100,4100,0.05,0.95,0.418,0.44,0.812667,0.751208,0.187333,0.4,0.412667,0.237527,0.247283,0.242353,0.00493,0.009756,-0.193789,0.193789,-0.012432
tabular_sarsa,0,reversal,1200,4200,0.05,0.95,0.494667,0.516667,0.797333,0.750636,0.202667,0.145333,0.652,0.272928,0.270587,0.278817,-0.00823,-0.002341,-0.201318,0.201318,0.104172
tabular_sarsa,0,reversal,1300,4300,0.05,0.95,0.461333,0.483333,0.600667,0.748543,0.399333,0.051333,0.549333,0.282906,0.266056,0.280374,-0.014318,-0.01685,0.194454,0.194454,-0.106648
tabular_sarsa,0,reversal,1400,4400,0.05,0.95,0.471333,0.493333,0.602667,0.748078,0.397333,0.100333,0.502333,0.294195,0.272675,0.29013,-0.017455,-0.021519,-0.001572,0.001572,0.199602
tabular_sarsa,0,reversal,1500,4500,0.05,0.95,0.461333,0.483333,0.651667,0.748176,0.348333,0.103667,0.548,0.285024,0.27207,0.276995,-0.004925,-0.012954,0.09562,0.09562,-0.003632
tabular_sarsa,0,extinction,1,4501,0.5,0.5,0.468,0.49,0.650333,0.748799,0.349667,0.102667,0.547667,0.288489,0.278178,0.283834,-0.005656,-0.010312,0.095204,0.095204,-0.007488
tabular_sarsa,0,extinction,100,4600,0.5,0.5,0.484667,0.506667,0.793667,0.746816,0.206333,0.195667,0.598,0.297659,0.261864,0.289948,-0.028084,-0.035794,0.409121,0.409121,-0.19874
tabular_sarsa,0,extinction,200,4700,0.5,0.5,0.494667,0.516667,0.595,0.746829,0.405,0.144,0.451,0.306358,0.264715,0.300971,-0.036256,-0.041643,0.00892,0.00892,-0.096384
tabular_sarsa,0,extinction,300,4800,0.5,0.5,0.468,0.49,0.803333,0.747165,0.196667,0.254,0.549333,0.306064,0.274432,0.29851,-0.024078,-0.031633,0.396505,0.396505,-0.310623
tabular_sarsa,0,extinction,400,4900,0.5,0.5,0.498,0.52,0.758667,0.746332,0.241333,0.202,0.556667,0.298151,0.260303,0.28608,-0.025778,-0.037848,0.294872,0.294872,-0.192513
tabular_sarsa,0,extinction,500,5000,0.5,0.5,0.491333,0.513333,0.703,0.747489,0.297,0.253667,0.449333,0.283365,0.260157,0.274269,-0.014112,-0.023208,0.217713,0.217713,-0.311976
