comparison,contrast,metric,difference,ci95,t_stat,p_value_normal
acquisition,linear_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
acquisition,linear_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
acquisition,linear_dqn_interaction_vs_raw,abs_proxy_dependence,-0.628429,0.065314,-18.858466,0.0
acquisition,linear_dqn_interaction_vs_raw,proxy_dependence,-0.628429,0.065314,-18.858466,0.0
acquisition,linear_dqn_interaction_vs_raw,proxy_action_rate,0.092867,0.1326,1.372686,0.16985
acquisition,linear_dqn_interaction_vs_raw,proxy_Q_advantage,0.000724,0.00421,0.337217,0.735953
reversal,linear_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
reversal,linear_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
reversal,linear_dqn_interaction_vs_raw,abs_proxy_dependence,-0.658054,0.072636,-17.756853,0.0
reversal,linear_dqn_interaction_vs_raw,proxy_dependence,0.658054,0.072636,17.756853,0.0
reversal,linear_dqn_interaction_vs_raw,proxy_action_rate,0.034233,0.128541,0.521989,0.601678
reversal,linear_dqn_interaction_vs_raw,proxy_Q_advantage,-0.004938,0.014761,-0.655701,0.512017
extinction,linear_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
extinction,linear_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
extinction,linear_dqn_interaction_vs_raw,abs_proxy_dependence,-0.560423,0.126345,-8.693906,0.0
extinction,linear_dqn_interaction_vs_raw,proxy_dependence,0.638484,0.128175,9.763429,0.0
extinction,linear_dqn_interaction_vs_raw,proxy_action_rate,-0.034167,0.081266,-0.824042,0.409916
extinction,linear_dqn_interaction_vs_raw,proxy_Q_advantage,-0.005336,0.007892,-1.325265,0.185083
acquisition,neural_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
acquisition,neural_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
acquisition,neural_dqn_interaction_vs_raw,abs_proxy_dependence,-0.047156,0.105101,-0.879401,0.379184
acquisition,neural_dqn_interaction_vs_raw,proxy_dependence,0.030111,0.236613,0.24943,0.803028
acquisition,neural_dqn_interaction_vs_raw,proxy_action_rate,-0.028967,0.135371,-0.419401,0.674923
acquisition,neural_dqn_interaction_vs_raw,proxy_Q_advantage,-0.00024,0.005079,-0.092728,0.92612
reversal,neural_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
reversal,neural_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
reversal,neural_dqn_interaction_vs_raw,abs_proxy_dependence,0.040214,0.060993,1.292268,0.196264
reversal,neural_dqn_interaction_vs_raw,proxy_dependence,0.081299,0.130641,1.219721,0.222571
reversal,neural_dqn_interaction_vs_raw,proxy_action_rate,0.092767,0.179973,1.010278,0.312362
reversal,neural_dqn_interaction_vs_raw,proxy_Q_advantage,0.00034,0.002794,0.238796,0.811264
extinction,neural_dqn_interaction_vs_raw,reward,0.0,0.0,0.0,1.0
extinction,neural_dqn_interaction_vs_raw,goal_rate,0.0,0.0,0.0,1.0
extinction,neural_dqn_interaction_vs_raw,abs_proxy_dependence,-0.054435,0.178539,-0.597589,0.550114
extinction,neural_dqn_interaction_vs_raw,proxy_dependence,-0.057051,0.182578,-0.61245,0.54024
extinction,neural_dqn_interaction_vs_raw,proxy_action_rate,0.053233,0.103616,1.00696,0.313954
extinction,neural_dqn_interaction_vs_raw,proxy_Q_advantage,0.000324,0.00251,0.25262,0.800562
acquisition,neural_vs_linear_full_raw_proxy,reward,0.0,0.0,0.0,1.0
acquisition,neural_vs_linear_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
acquisition,neural_vs_linear_full_raw_proxy,abs_proxy_dependence,-0.660502,0.152392,-8.495118,0.0
acquisition,neural_vs_linear_full_raw_proxy,proxy_dependence,-0.878142,0.173801,-9.903037,0.0
acquisition,neural_vs_linear_full_raw_proxy,proxy_action_rate,0.072433,0.265331,0.535066,0.592605
acquisition,neural_vs_linear_full_raw_proxy,proxy_Q_advantage,-0.002343,0.011305,-0.406178,0.684612
reversal,neural_vs_linear_full_raw_proxy,reward,0.0,0.0,0.0,1.0
reversal,neural_vs_linear_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
reversal,neural_vs_linear_full_raw_proxy,abs_proxy_dependence,-0.848631,0.125253,-13.27971,0.0
reversal,neural_vs_linear_full_raw_proxy,proxy_dependence,0.848631,0.125253,13.27971,0.0
reversal,neural_vs_linear_full_raw_proxy,proxy_action_rate,-0.09,0.042837,-4.117922,3.8e-05
reversal,neural_vs_linear_full_raw_proxy,proxy_Q_advantage,-0.008086,0.013897,-1.140417,0.254113
extinction,neural_vs_linear_full_raw_proxy,reward,0.0,0.0,0.0,1.0
extinction,neural_vs_linear_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
extinction,neural_vs_linear_full_raw_proxy,abs_proxy_dependence,-0.594057,0.137681,-8.456855,0.0
extinction,neural_vs_linear_full_raw_proxy,proxy_dependence,0.842737,0.198561,8.31867,0.0
extinction,neural_vs_linear_full_raw_proxy,proxy_action_rate,0.0602,0.169598,0.695717,0.486606
extinction,neural_vs_linear_full_raw_proxy,proxy_Q_advantage,0.003396,0.003858,1.72568,0.084405
acquisition,neural_vs_linear_proxy_interaction_only,reward,0.0,0.0,0.0,1.0
acquisition,neural_vs_linear_proxy_interaction_only,goal_rate,0.0,0.0,0.0,1.0
acquisition,neural_vs_linear_proxy_interaction_only,abs_proxy_dependence,-0.079229,0.119033,-1.304579,0.192036
acquisition,neural_vs_linear_proxy_interaction_only,proxy_dependence,-0.219602,0.159451,-2.699388,0.006947
acquisition,neural_vs_linear_proxy_interaction_only,proxy_action_rate,-0.0494,0.192,-0.504292,0.614056
acquisition,neural_vs_linear_proxy_interaction_only,proxy_Q_advantage,-0.003307,0.010291,-0.629879,0.528774
reversal,neural_vs_linear_proxy_interaction_only,reward,0.0,0.0,0.0,1.0
reversal,neural_vs_linear_proxy_interaction_only,goal_rate,0.0,0.0,0.0,1.0
reversal,neural_vs_linear_proxy_interaction_only,abs_proxy_dependence,-0.150363,0.068034,-4.331862,1.5e-05
reversal,neural_vs_linear_proxy_interaction_only,proxy_dependence,0.271876,0.11694,4.556835,5e-06
reversal,neural_vs_linear_proxy_interaction_only,proxy_action_rate,-0.031467,0.143458,-0.429914,0.667258
reversal,neural_vs_linear_proxy_interaction_only,proxy_Q_advantage,-0.002807,0.009738,-0.565049,0.572041
extinction,neural_vs_linear_proxy_interaction_only,reward,0.0,0.0,0.0,1.0
extinction,neural_vs_linear_proxy_interaction_only,goal_rate,0.0,0.0,0.0,1.0
extinction,neural_vs_linear_proxy_interaction_only,abs_proxy_dependence,-0.088069,0.096755,-1.784032,0.074418
extinction,neural_vs_linear_proxy_interaction_only,proxy_dependence,0.147202,0.097639,2.954941,0.003127
extinction,neural_vs_linear_proxy_interaction_only,proxy_action_rate,0.1476,0.190563,1.518108,0.128987
extinction,neural_vs_linear_proxy_interaction_only,proxy_Q_advantage,0.009056,0.008481,2.092992,0.03635
persistence,neural_vs_linear_full_raw_proxy,extinction_half_life,-620.0,276.105809,-4.401211,1.1e-05
persistence,neural_vs_linear_full_raw_proxy,superstition_persistence_index,-0.446472,0.154213,-5.674513,0.0
persistence,neural_vs_linear_proxy_interaction_only,extinction_half_life,-790.0,125.501235,-12.337727,0.0
persistence,neural_vs_linear_proxy_interaction_only,superstition_persistence_index,-0.878424,0.498326,-3.454989,0.00055
