agent_type,feature_condition,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
linear_dqn,full_raw_proxy,0,acquisition,1,1,0.95,0.05,-0.002,0.02,0.952,0.750619,0.048,0.403,0.549,0.019375,0.032698,0.017518,0.015181,0.013323,0.097035,0.097035,-0.005403
linear_dqn,full_raw_proxy,0,acquisition,100,100,0.95,0.05,0.501333,0.523333,0.392,0.745364,0.608,0.0,0.392,0.093548,0.072969,0.067439,0.005529,-0.020579,0.388477,0.388477,0.0
linear_dqn,full_raw_proxy,0,acquisition,200,200,0.95,0.05,0.458,0.48,0.409667,0.745462,0.590333,0.0,0.409667,0.16904,0.148374,0.144198,0.004177,-0.020666,0.39407,0.39407,0.0
linear_dqn,full_raw_proxy,0,acquisition,300,300,0.95,0.05,0.478,0.5,0.446,0.746162,0.554,0.0,0.446,0.24997,0.230518,0.23037,0.000148,-0.019452,0.493923,0.493923,0.0
linear_dqn,full_raw_proxy,0,acquisition,400,400,0.95,0.05,0.464667,0.486667,0.353667,0.7473,0.646333,0.0,0.353667,0.313567,0.300486,0.299928,0.000558,-0.013081,0.701256,0.701256,0.0
linear_dqn,full_raw_proxy,0,acquisition,500,500,0.95,0.05,0.461333,0.483333,0.411667,0.747944,0.588333,0.0,0.411667,0.365273,0.357663,0.354116,0.003547,-0.00761,0.800908,0.800908,0.0
linear_dqn,full_raw_proxy,0,acquisition,600,600,0.95,0.05,0.544667,0.566667,0.401333,0.74937,0.598667,0.089667,0.311667,0.397929,0.397471,0.394417,0.003054,-0.000458,0.903904,0.903904,-0.201952
linear_dqn,full_raw_proxy,0,acquisition,700,700,0.95,0.05,0.471333,0.493333,0.457333,0.750589,0.542667,0.05,0.407333,0.409454,0.412782,0.413814,-0.001032,0.003328,0.900854,0.900854,-0.09849
linear_dqn,full_raw_proxy,0,acquisition,800,800,0.95,0.05,0.424667,0.446667,0.486667,0.751523,0.513333,0.107,0.379667,0.417885,0.428084,0.426419,0.001665,0.010199,0.901791,0.901791,-0.198271
linear_dqn,full_raw_proxy,0,acquisition,900,900,0.95,0.05,0.514667,0.536667,0.416,0.750817,0.584,0.139667,0.276333,0.434264,0.440465,0.439093,0.001372,0.0062,0.904348,0.904348,-0.303623
linear_dqn,full_raw_proxy,0,acquisition,1000,1000,0.95,0.05,0.511333,0.533333,0.433,0.75067,0.567,0.0,0.433,0.431047,0.434202,0.436377,-0.002176,0.003155,0.901457,0.901457,0.0
linear_dqn,full_raw_proxy,0,acquisition,1100,1100,0.95,0.05,0.454667,0.476667,0.526667,0.753307,0.473333,0.0,0.526667,0.411471,0.428172,0.431145,-0.002973,0.016702,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,1200,1200,0.95,0.05,0.491333,0.513333,0.489,0.751912,0.511,0.148,0.341,0.409754,0.421436,0.420718,0.000718,0.011682,1.0,1.0,-0.302658
linear_dqn,full_raw_proxy,0,acquisition,1300,1300,0.95,0.05,0.501333,0.523333,0.480667,0.752703,0.519333,0.0,0.480667,0.401037,0.414153,0.417781,-0.003628,0.013116,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,1400,1400,0.95,0.05,0.498,0.52,0.482667,0.752862,0.517333,0.0,0.482667,0.396509,0.41144,0.413775,-0.002335,0.014931,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,1500,1500,0.95,0.05,0.481333,0.503333,0.495,0.754173,0.505,0.0,0.495,0.382708,0.404029,0.407525,-0.003496,0.021322,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,1600,1600,0.95,0.05,0.498,0.52,0.487333,0.754855,0.512667,0.05,0.437333,0.373433,0.400155,0.401294,-0.001139,0.026722,1.0,1.0,-0.102599
linear_dqn,full_raw_proxy,0,acquisition,1700,1700,0.95,0.05,0.484667,0.506667,0.497333,0.756687,0.502667,0.194667,0.302667,0.361549,0.398793,0.399314,-0.000521,0.037244,1.0,1.0,-0.391421
linear_dqn,full_raw_proxy,0,acquisition,1800,1800,0.95,0.05,0.488,0.51,0.491333,0.756871,0.508667,0.294333,0.197,0.357704,0.397281,0.396156,0.001125,0.039577,1.0,1.0,-0.59905
linear_dqn,full_raw_proxy,0,acquisition,1900,1900,0.95,0.05,0.468,0.49,0.515667,0.758749,0.484333,0.309,0.206667,0.344513,0.395679,0.392881,0.002798,0.051166,1.0,1.0,-0.599224
linear_dqn,full_raw_proxy,0,acquisition,2000,2000,0.95,0.05,0.468,0.49,0.511333,0.759314,0.488667,0.104667,0.406667,0.342291,0.394933,0.394986,-5.3e-05,0.052642,1.0,1.0,-0.204694
linear_dqn,full_raw_proxy,0,acquisition,2100,2100,0.95,0.05,0.498,0.52,0.481333,0.759852,0.518667,0.0,0.481333,0.341261,0.396775,0.397288,-0.000513,0.055514,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2200,2200,0.95,0.05,0.451333,0.473333,0.525333,0.761414,0.474667,0.0,0.525333,0.329639,0.394222,0.394573,-0.000351,0.064583,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2300,2300,0.95,0.05,0.498,0.52,0.482333,0.760897,0.517667,0.245333,0.237,0.335375,0.398835,0.396912,0.001923,0.063459,1.0,1.0,-0.508639
linear_dqn,full_raw_proxy,0,acquisition,2400,2400,0.95,0.05,0.478,0.5,0.502667,0.761325,0.497333,0.0,0.502667,0.332708,0.396963,0.398055,-0.001092,0.064255,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2500,2500,0.95,0.05,0.464667,0.486667,0.506333,0.761755,0.493667,0.0,0.506333,0.336545,0.404016,0.404332,-0.000316,0.06747,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2600,2600,0.95,0.05,0.468,0.49,0.509333,0.763971,0.490667,0.0,0.509333,0.329696,0.409165,0.410092,-0.000927,0.07947,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2700,2700,0.95,0.05,0.481333,0.503333,0.494667,0.763877,0.505333,0.245667,0.249,0.332221,0.412715,0.411647,0.001068,0.080494,1.0,1.0,-0.496631
linear_dqn,full_raw_proxy,0,acquisition,2800,2800,0.95,0.05,0.448,0.47,0.527,0.766197,0.473,0.0,0.527,0.314111,0.404568,0.408599,-0.004032,0.090457,1.0,1.0,0.0
linear_dqn,full_raw_proxy,0,acquisition,2900,2900,0.95,0.05,0.474667,0.496667,0.55,0.766313,0.45,0.0,0.55,0.313012,0.406372,0.4074,-0.001028,0.09336,0.901804,0.901804,0.0
linear_dqn,full_raw_proxy,0,acquisition,3000,3000,0.95,0.05,0.461333,0.483333,0.61,0.767467,0.39,0.103667,0.506333,0.303895,0.404064,0.405259,-0.001195,0.100169,0.798635,0.798635,-0.202606
linear_dqn,full_raw_proxy,0,reversal,1,3001,0.05,0.95,0.494667,0.516667,0.615,0.767763,0.385,0.105333,0.509667,0.301393,0.40344,0.40437,-0.00093,0.102047,0.799861,0.799861,-0.203085
linear_dqn,full_raw_proxy,0,reversal,100,3100,0.05,0.95,0.468,0.49,0.641667,0.766997,0.358333,0.345,0.296667,0.303812,0.403341,0.401595,0.001745,0.099529,0.702614,0.702614,-0.295918
linear_dqn,full_raw_proxy,0,reversal,200,3200,0.05,0.95,0.474667,0.496667,0.644333,0.766682,0.355667,0.151,0.493333,0.298366,0.395529,0.394048,0.00148,0.097163,0.701974,0.701974,0.298026
