comparison,contrast,metric,difference,ci95,t_stat,p_value_normal
acquisition,phase_only_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
acquisition,phase_only_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
acquisition,phase_only_vs_full_raw_proxy,abs_proxy_dependence,-0.844265,0.066655,-24.82555,0.0
acquisition,phase_only_vs_full_raw_proxy,proxy_dependence,-0.852607,0.067742,-24.668738,0.0
acquisition,phase_only_vs_full_raw_proxy,proxy_action_rate,-0.0204,0.152865,-0.261564,0.793658
acquisition,phase_only_vs_full_raw_proxy,proxy_Q_advantage,-0.000831,0.002362,-0.68979,0.490326
reversal,phase_only_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
reversal,phase_only_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
reversal,phase_only_vs_full_raw_proxy,abs_proxy_dependence,-0.874559,0.087234,-19.649771,0.0
reversal,phase_only_vs_full_raw_proxy,proxy_dependence,0.877476,0.08637,19.912724,0.0
reversal,phase_only_vs_full_raw_proxy,proxy_action_rate,-0.112733,0.139015,-1.589449,0.111959
reversal,phase_only_vs_full_raw_proxy,proxy_Q_advantage,-0.008385,0.012688,-1.295286,0.195222
extinction,phase_only_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
extinction,phase_only_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
extinction,phase_only_vs_full_raw_proxy,abs_proxy_dependence,-0.699807,0.083353,-16.455574,0.0
extinction,phase_only_vs_full_raw_proxy,proxy_dependence,0.726584,0.091889,15.49804,0.0
extinction,phase_only_vs_full_raw_proxy,proxy_action_rate,0.059333,0.152344,0.763359,0.44525
extinction,phase_only_vs_full_raw_proxy,proxy_Q_advantage,0.003209,0.003294,1.90923,0.056232
persistence,phase_only_vs_full_raw_proxy,extinction_half_life,-370.0,311.346067,-2.329241,0.019846
persistence,phase_only_vs_full_raw_proxy,superstition_persistence_index,,,,
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,abs_proxy_dependence,-0.079627,0.04881,-3.197455,0.001386
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,proxy_dependence,-0.079627,0.04881,-3.197455,0.001386
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,proxy_action_rate,-0.023667,0.135138,-0.343255,0.731407
acquisition,orthogonal_rotation_full_vs_full_raw_proxy,proxy_Q_advantage,-0.000828,0.002281,-0.711465,0.476796
reversal,orthogonal_rotation_full_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
reversal,orthogonal_rotation_full_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
reversal,orthogonal_rotation_full_vs_full_raw_proxy,abs_proxy_dependence,-0.240836,0.094917,-4.973155,1e-06
reversal,orthogonal_rotation_full_vs_full_raw_proxy,proxy_dependence,0.240836,0.094917,4.973155,1e-06
reversal,orthogonal_rotation_full_vs_full_raw_proxy,proxy_action_rate,0.002233,0.10973,0.03989,0.968181
reversal,orthogonal_rotation_full_vs_full_raw_proxy,proxy_Q_advantage,-0.009076,0.014163,-1.256071,0.20909
extinction,orthogonal_rotation_full_vs_full_raw_proxy,reward,0.0,0.0,0.0,1.0
extinction,orthogonal_rotation_full_vs_full_raw_proxy,goal_rate,0.0,0.0,0.0,1.0
extinction,orthogonal_rotation_full_vs_full_raw_proxy,abs_proxy_dependence,-0.263213,0.125259,-4.11866,3.8e-05
