feature_condition,seed,acquisition_proxy_dependence_final,reversal_proxy_dependence_final,extinction_proxy_dependence_initial,extinction_proxy_dependence_final,extinction_half_life,superstition_persistence_index
phase_only,0,0.001334,0.001335,-0.013334,-0.010134,300,
phase_only,1,-0.014136,-0.001072,0.003467,0.007467,100,
phase_only,2,-0.003751,0.004416,-0.012802,-0.000267,500,
phase_only,3,-0.001337,0.003467,-0.023738,-0.0176,200,
phase_only,4,0.002667,0.002006,-0.006269,0.027467,1000,
phase_only,5,-0.002176,-0.009343,-0.005334,-0.024014,300,
phase_only,6,-0.006707,0.002026,-0.004,0.005873,300,
phase_only,7,-0.005335,0.001335,0.012679,0.035738,300,
phase_only,8,0.006671,-0.008295,0.015734,0.040808,100,
phase_only,9,-0.008267,-0.012539,0.009334,0.016535,200,
full_raw_proxy,0,0.798635,-0.897917,-0.789826,-0.496021,-1,0.775313
full_raw_proxy,1,0.896643,-1.0,-1.0,-0.597065,-1,0.747096
full_raw_proxy,2,1.0,-0.700817,-0.700922,-0.609626,-1,0.622523
full_raw_proxy,3,0.901141,-1.0,-1.0,-0.808256,1100,0.889199
full_raw_proxy,4,0.698925,-0.69682,-0.701564,-0.594378,-1,0.810431
full_raw_proxy,5,0.698654,-1.0,-1.0,-0.703776,500,1.218675
full_raw_proxy,6,0.797688,-0.692998,-0.706,-0.79807,-1,0.730614
full_raw_proxy,7,0.798103,-1.0,-1.0,-0.90081,600,1.062571
full_raw_proxy,8,1.0,-1.0,-1.0,-0.777552,600,0.881293
full_raw_proxy,9,0.905242,-0.802872,-0.811921,-0.898417,-1,0.687423
orthogonal_rotation_full,0,0.701706,-0.701389,-0.703481,-0.381963,-1,0.82698
orthogonal_rotation_full,1,0.791968,-0.599426,-0.601729,-0.302869,1200,0.626522
orthogonal_rotation_full,2,1.0,-0.500943,-0.496047,-0.409091,-1,0.445059
orthogonal_rotation_full,3,0.801648,-1.0,-1.0,-1.0,-1,1.24743
orthogonal_rotation_full,4,0.598118,-0.60212,-0.600272,-0.4083,-1,0.810046
orthogonal_rotation_full,5,0.799883,-0.595041,-0.587248,-0.396484,-1,0.663031
orthogonal_rotation_full,6,0.698699,-0.601436,-0.596,-0.407305,-1,0.814086
orthogonal_rotation_full,7,0.600949,-0.598329,-0.609773,-0.41363,-1,0.720638
orthogonal_rotation_full,8,0.900685,-0.595609,-0.607804,-0.421907,-1,0.553025
orthogonal_rotation_full,9,0.805108,-0.588773,-0.58543,-0.41029,-1,0.678857
centered_proxy_residual,0,0.798635,-1.0,-1.0,-0.612732,-1,0.800746
centered_proxy_residual,1,1.0,-1.0,-1.0,-0.101401,400,0.667821
centered_proxy_residual,2,1.0,-0.899434,-0.897892,-0.599599,-1,0.637932
centered_proxy_residual,3,1.0,-1.0,-1.0,-0.703728,-1,0.66932
centered_proxy_residual,4,0.796371,-1.0,-1.0,-0.700134,600,0.835058
centered_proxy_residual,5,0.799883,-1.0,-1.0,-0.798828,500,0.878359
centered_proxy_residual,6,0.895231,-1.0,-1.0,-0.509304,700,0.759553
centered_proxy_residual,7,0.896341,-1.0,-1.0,-0.593792,200,0.726807
centered_proxy_residual,8,1.0,-1.0,-1.0,-0.272481,500,0.798624
centered_proxy_residual,9,1.0,-1.0,-1.0,-0.799472,700,0.686467
proxy_interaction_only,0,0.100279,-0.193376,-0.189048,-0.301724,1100,2.353377
proxy_interaction_only,1,0.391705,-0.400574,-0.398271,0.00414,900,0.730274
proxy_interaction_only,2,0.204005,-0.194416,-0.198741,0.296543,700,1.164709
proxy_interaction_only,3,0.402408,-0.296002,-0.312175,-0.297065,800,0.707577
proxy_interaction_only,4,0.108007,-0.200404,-0.189787,0.088668,800,2.448145
proxy_interaction_only,5,0.004417,-0.205346,-0.198182,0.000587,1000,
proxy_interaction_only,6,0.196489,-0.107367,-0.098,-0.291771,700,1.25496
proxy_interaction_only,7,0.302168,-0.202917,-0.193718,0.000368,800,0.875742
proxy_interaction_only,8,0.30274,-0.20225,-0.196631,-0.105149,1100,0.773985
proxy_interaction_only,9,0.198519,-0.20823,-0.202489,-0.193723,600,1.093267
