feature_condition,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
phase_only,0,acquisition,1,1,0.95,0.05,-0.022,0.0,0.9,0.755273,0.1,0.0,0.9,-0.010235,0.012147,0.021155,-0.009008,0.022382,-0.005867,0.005867,0.0
phase_only,0,acquisition,100,100,0.95,0.05,0.501333,0.523333,0.5,0.746829,0.5,0.0,0.5,0.063581,0.047239,0.047009,0.00023,-0.016342,-0.020028,0.020028,0.0
phase_only,0,acquisition,200,200,0.95,0.05,0.458,0.48,0.5,0.746168,0.5,0.0,0.5,0.130334,0.110542,0.110534,9e-06,-0.019792,-0.001335,0.001335,0.0
phase_only,0,acquisition,300,300,0.95,0.05,0.478,0.5,0.5,0.746454,0.5,0.0,0.5,0.201209,0.18084,0.18413,-0.00329,-0.020369,-0.008,0.008,0.0
phase_only,0,acquisition,400,400,0.95,0.05,0.464667,0.486667,0.5,0.747132,0.5,0.0,0.5,0.263961,0.248644,0.249703,-0.001059,-0.015317,-0.004667,0.004667,0.0
phase_only,0,acquisition,500,500,0.95,0.05,0.461333,0.483333,0.6,0.74734,0.4,0.3,0.3,0.321569,0.307975,0.308043,-6.7e-05,-0.013594,-0.00427,0.00427,-0.00854
phase_only,0,acquisition,600,600,0.95,0.05,0.544667,0.566667,0.6,0.749197,0.4,0.3,0.3,0.352758,0.349124,0.348771,0.000353,-0.003635,0.00243,0.00243,-0.007291
phase_only,0,acquisition,700,700,0.95,0.05,0.471333,0.493333,0.6,0.749155,0.4,0.1,0.5,0.378188,0.372342,0.374846,-0.002504,-0.005845,0.000267,0.000267,-0.011603
phase_only,0,acquisition,800,800,0.95,0.05,0.424667,0.446667,0.6,0.749214,0.4,0.3,0.3,0.393942,0.389836,0.390191,-0.000355,-0.004106,0.010198,0.010198,0.004965
phase_only,0,acquisition,900,900,0.95,0.05,0.514667,0.536667,0.7,0.749655,0.3,0.0,0.7,0.399581,0.396003,0.398988,-0.002985,-0.003578,0.002684,0.002684,0.0
phase_only,0,acquisition,1000,1000,0.95,0.05,0.511333,0.533333,0.7,0.749173,0.3,0.0,0.7,0.405029,0.398801,0.401924,-0.003123,-0.006228,0.000401,0.000401,0.0
phase_only,0,acquisition,1100,1100,0.95,0.05,0.454667,0.476667,0.7,0.750414,0.3,0.1,0.6,0.397073,0.398352,0.4,-0.001647,0.00128,0.002674,0.002674,-0.002674
phase_only,0,acquisition,1200,1200,0.95,0.05,0.491333,0.513333,0.7,0.749249,0.3,0.0,0.7,0.393965,0.388486,0.390954,-0.002468,-0.005478,0.001467,0.001467,0.0
phase_only,0,acquisition,1300,1300,0.95,0.05,0.501333,0.523333,0.7,0.749693,0.3,0.0,0.7,0.385926,0.382317,0.385486,-0.003169,-0.003609,0.000801,0.000801,0.0
phase_only,0,acquisition,1400,1400,0.95,0.05,0.498,0.52,0.6,0.749609,0.4,0.1,0.5,0.378172,0.375815,0.376397,-0.000583,-0.002358,0.013616,0.013616,-0.000267
phase_only,0,acquisition,1500,1500,0.95,0.05,0.481333,0.503333,0.6,0.748542,0.4,0.0,0.6,0.375349,0.367344,0.367898,-0.000554,-0.008004,0.001333,0.001333,0.0
phase_only,0,acquisition,1600,1600,0.95,0.05,0.498,0.52,0.4,0.74772,0.6,0.3,0.1,0.372523,0.360307,0.360636,-0.000329,-0.012216,0.014943,0.014943,-0.012541
phase_only,0,acquisition,1700,1700,0.95,0.05,0.484667,0.506667,0.5,0.748096,0.5,0.4,0.1,0.368604,0.358793,0.358498,0.000296,-0.009811,-0.014667,0.014667,0.017067
phase_only,0,acquisition,1800,1800,0.95,0.05,0.488,0.51,0.5,0.748039,0.5,0.0,0.5,0.367178,0.355732,0.357443,-0.00171,-0.011446,0.005335,0.005335,0.0
phase_only,0,acquisition,1900,1900,0.95,0.05,0.468,0.49,0.4,0.747964,0.6,0.3,0.1,0.367918,0.357855,0.356905,0.00095,-0.010063,-0.001068,0.001068,0.005472
phase_only,0,acquisition,2000,2000,0.95,0.05,0.468,0.49,0.6,0.748155,0.4,0.0,0.6,0.369245,0.35801,0.360351,-0.00234,-0.011235,-0.009872,0.009872,0.0
phase_only,0,acquisition,2100,2100,0.95,0.05,0.498,0.52,0.6,0.749101,0.4,0.0,0.6,0.363459,0.358219,0.359049,-0.00083,-0.005239,-0.00454,0.00454,0.0
phase_only,0,acquisition,2200,2200,0.95,0.05,0.451333,0.473333,0.6,0.748189,0.4,0.0,0.6,0.365792,0.355746,0.356558,-0.000812,-0.010046,0.016576,0.016576,0.0
phase_only,0,acquisition,2300,2300,0.95,0.05,0.498,0.52,0.5,0.748487,0.5,0.1,0.4,0.36179,0.353712,0.35392,-0.000208,-0.008078,-0.004673,0.004673,-0.000401
phase_only,0,acquisition,2400,2400,0.95,0.05,0.478,0.5,0.5,0.747286,0.5,0.3,0.2,0.370741,0.357525,0.355958,0.001567,-0.013215,0.013334,0.013334,-0.007467
phase_only,0,acquisition,2500,2500,0.95,0.05,0.464667,0.486667,0.5,0.746642,0.5,0.2,0.3,0.384202,0.367586,0.366067,0.001519,-0.016615,-0.003334,0.003334,0.003734
phase_only,0,acquisition,2600,2600,0.95,0.05,0.468,0.49,0.5,0.747924,0.5,0.0,0.5,0.385759,0.374835,0.374885,-5e-05,-0.010924,-0.018673,0.018673,0.0
phase_only,0,acquisition,2700,2700,0.95,0.05,0.481333,0.503333,0.6,0.749446,0.4,0.0,0.6,0.379292,0.375648,0.376836,-0.001189,-0.003645,0.002134,0.002134,0.0
