feature_condition,phase,checkpoint,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,abs_proxy_dependence_mean,abs_proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
phase_only,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.55,0.032667,0.748776,0.000643,0.45,0.032667,0.18,0.123271,0.37,0.117054,0.380918,0.01026,0.374257,0.008944,0.374691,0.009302,-0.000435,0.001067,-0.006661,0.003617,-0.003104,0.003692,0.005238,0.002455,0.004657,0.003746
phase_only,reversal,final,10,0.479,0.021472,0.501,0.021472,0.59,0.05427,0.74884,0.000642,0.41,0.05427,0.1,0.105347,0.49,0.103094,0.372234,0.009537,0.36561,0.008829,0.366462,0.008671,-0.000852,0.001124,-0.006623,0.003814,-0.001666,0.003753,0.004583,0.00251,-0.000922,0.002674
phase_only,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.61,0.035183,0.749079,0.000615,0.39,0.035183,0.23,0.134053,0.38,0.123271,0.367739,0.011849,0.362787,0.009336,0.363008,0.009301,-0.000221,0.001111,-0.004952,0.003393,0.008187,0.013672,0.01859,0.008248,-0.006227,0.005872
full_raw_proxy,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.577533,0.030361,0.766218,0.000893,0.422467,0.030361,0.2004,0.089664,0.377133,0.091873,0.316434,0.011809,0.410741,0.009523,0.410345,0.009116,0.000397,0.002102,0.094307,0.005611,0.849503,0.067467,0.849503,0.067467,-0.350451,0.134871
full_raw_proxy,reversal,final,10,0.479,0.021472,0.501,0.021472,0.5637,0.038009,0.761116,0.000974,0.4363,0.038009,0.212733,0.102238,0.350967,0.08931,0.362665,0.010848,0.433925,0.011702,0.426392,0.011534,0.007533,0.01267,0.07126,0.007688,-0.879142,0.087384,0.879142,0.087384,0.289947,0.278594
full_raw_proxy,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.6419,0.042603,0.757023,0.000987,0.3581,0.042603,0.170667,0.053873,0.471233,0.06017,0.313393,0.012306,0.349948,0.010956,0.353378,0.009593,-0.00343,0.002908,0.036556,0.005612,-0.718397,0.086478,0.718397,0.086478,0.080723,0.227904
orthogonal_rotation_full,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.6161,0.040084,0.762475,0.000822,0.3839,0.040084,0.176733,0.092148,0.439367,0.093189,0.331272,0.011852,0.402966,0.009655,0.403397,0.009315,-0.000431,0.001761,0.071694,0.004504,0.769876,0.077705,0.769876,0.077705,-0.190966,0.168233
orthogonal_rotation_full,reversal,final,10,0.479,0.021472,0.501,0.021472,0.6823,0.041927,0.765475,0.001174,0.3177,0.041927,0.214967,0.089403,0.467333,0.081448,0.271819,0.011891,0.35946,0.013762,0.361003,0.008675,-0.001543,0.00868,0.087641,0.009546,-0.638307,0.084074,0.638307,0.084074,0.26088,0.205291
orthogonal_rotation_full,extinction,final,10,0.481667,0.017704,0.503667,0.017704,0.7729,0.060472,0.757284,0.001253,0.2271,0.060472,0.194967,0.14278,0.577933,0.138477,0.304426,0.012701,0.340422,0.016068,0.346913,0.009768,-0.006491,0.018931,0.035996,0.017049,-0.455184,0.120521,0.455184,0.120521,0.157124,0.153634
centered_proxy_residual,acquisition,final,10,0.475667,0.02116,0.497667,0.02116,0.542467,0.02936,0.767076,0.000995,0.457533,0.02936,0.1709,0.081923,0.371567,0.094776,0.309234,0.011425,0.408872,0.008796,0.408772,0.008619,0.0001,0.002187,0.099638,0.005901,0.918646,0.057551,0.918646,0.057551,-0.319563,0.148125
