condition,correlation_strength,seed,reward,goal_rate,CDS,SPI,spurious_action_rate,neutral_action_rate,causal_action_rate,Q_spurious,Q_neutral_mean,Q_causal,spurious_Q_advantage,spurious_policy_advantage
no_spurious_correlation,0.1,0,0.978,1.0,0.742927,0.687414,0.31397,0.373444,0.312586,0.52542,0.4463,0.50788,0.07912,-0.059474
no_spurious_correlation,0.1,1,0.978,1.0,0.757425,0.838501,0.310078,0.528424,0.161499,0.518116,0.486119,0.459822,0.031997,-0.218346
no_spurious_correlation,0.1,2,0.978,1.0,0.768047,1.0,0.302168,0.697832,0.0,0.479325,0.503942,0.409531,-0.024617,-0.395664
no_spurious_correlation,0.1,3,0.978,1.0,0.745413,0.690981,0.404509,0.286472,0.309019,0.54026,0.434148,0.49295,0.106112,0.118037
no_spurious_correlation,0.1,4,0.978,1.0,0.756469,0.890724,0.402795,0.487929,0.109276,0.524336,0.460373,0.449647,0.063963,-0.085133
no_spurious_correlation,0.1,5,0.978,1.0,0.738125,0.60026,0.0,0.60026,0.39974,0.413189,0.480803,0.518506,-0.067614,-0.60026
no_spurious_correlation,0.1,6,0.978,1.0,0.757625,0.781843,0.281843,0.5,0.218157,0.491579,0.47886,0.445449,0.012719,-0.218157
no_spurious_correlation,0.1,7,0.978,1.0,0.730004,0.517287,0.106383,0.410904,0.482713,0.413137,0.453538,0.535983,-0.040401,-0.304521
no_spurious_correlation,0.1,8,0.978,1.0,0.712511,0.279528,0.198163,0.081365,0.720472,0.457404,0.434682,0.628343,0.022722,0.116798
no_spurious_correlation,0.1,9,0.978,1.0,0.750796,0.811465,0.208917,0.602548,0.188535,0.463992,0.504773,0.49075,-0.040781,-0.393631
no_spurious_correlation,0.1,10,0.978,1.0,0.749941,0.80914,0.09543,0.71371,0.19086,0.424328,0.502539,0.47984,-0.078211,-0.61828
no_spurious_correlation,0.1,11,0.978,1.0,0.756796,0.893281,0.094862,0.798419,0.106719,0.384744,0.544271,0.462253,-0.159527,-0.703557
no_spurious_correlation,0.1,12,0.978,1.0,0.739052,0.69697,0.282828,0.414141,0.30303,0.485818,0.460537,0.531602,0.025281,-0.131313
no_spurious_correlation,0.1,13,0.978,1.0,0.752257,0.714469,0.103713,0.610755,0.285531,0.431075,0.502859,0.464248,-0.071784,-0.507042
no_spurious_correlation,0.1,14,0.978,1.0,0.747,0.694329,0.092669,0.60166,0.305671,0.405653,0.478903,0.474208,-0.07325,-0.50899
no_spurious_correlation,0.1,15,0.978,1.0,0.760929,0.903356,0.107383,0.795973,0.096644,0.429252,0.532615,0.448612,-0.103363,-0.688591
no_spurious_correlation,0.1,16,0.978,1.0,0.734696,0.581137,0.18724,0.393897,0.418863,0.493644,0.46295,0.553573,0.030694,-0.206657
no_spurious_correlation,0.1,17,0.978,1.0,0.733167,0.60485,0.098431,0.506419,0.39515,0.43432,0.460856,0.539262,-0.026536,-0.407989
no_spurious_correlation,0.1,18,0.978,1.0,0.746541,0.802183,0.302865,0.499318,0.197817,0.469994,0.484714,0.49797,-0.01472,-0.196453
no_spurious_correlation,0.1,19,0.978,1.0,0.755731,0.827357,0.103586,0.723772,0.172643,0.442821,0.516753,0.463948,-0.073933,-0.620186
no_spurious_correlation,0.1,20,0.978,1.0,0.735979,0.605859,0.496671,0.109188,0.394141,0.545022,0.428955,0.538899,0.116066,0.387483
