condition,seed,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
baseline,0,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,1,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,2,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,3,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,4,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,5,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,6,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,7,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,8,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,9,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,10,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,11,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,12,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,13,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,14,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,15,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,16,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,17,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,18,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,19,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,20,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,21,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,22,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,23,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,24,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,25,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,26,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,27,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,28,,0.82,0.82,1.0,1.0,0.0,0.0
baseline,29,,0.82,0.82,1.0,1.0,0.0,0.0
cue_baseline,0,,0.82,0.82,1.0,1.0,0.097222,1.0
cue_baseline,1,,0.82,0.82,1.0,1.0,0.0,0.0
cue_baseline,2,,0.82,0.82,1.0,1.0,0.0,0.0
cue_baseline,3,,0.82,0.82,1.0,1.0,0.0,0.0
