condition,seed,delay_level,sparsity_level,delay_high,sparsity_high,delay,reward_sparse_prob,noise,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
low_delay_low_sparsity,0,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.097222,1.0
low_delay_low_sparsity,1,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,2,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,3,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,4,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.002849,1.0
low_delay_low_sparsity,5,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,6,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,7,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,8,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,9,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.350649,1.0
low_delay_low_sparsity,10,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.074074,1.0
low_delay_low_sparsity,11,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.129853,1.0
low_delay_low_sparsity,12,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,13,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,14,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,15,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.027778,1.0
low_delay_low_sparsity,16,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,17,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.278499,1.0
low_delay_low_sparsity,18,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,19,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,20,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,21,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,22,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.055556,1.0
low_delay_low_sparsity,23,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.156118,1.0
low_delay_low_sparsity,24,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,25,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,26,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,27,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,28,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_low_sparsity,29,low,low,0,0,0,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
high_delay_low_sparsity,0,high,low,1,0,6,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_low_sparsity,1,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
high_delay_low_sparsity,2,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.119241,1.0
high_delay_low_sparsity,3,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
