phase,seed,episode,reward,epsilon,loss,reached_goal
factorial_high_delay_high_sparsity,0,1,-2.0,0.685565,0.00493,0
factorial_high_delay_high_sparsity,0,2,-2.0,0.458809,0.002476,0
factorial_high_delay_high_sparsity,0,3,-2.0,0.307055,0.001995,0
factorial_high_delay_high_sparsity,0,4,-2.0,0.205494,0.001853,0
factorial_high_delay_high_sparsity,0,5,-2.0,0.137525,0.00188,0
factorial_high_delay_high_sparsity,0,6,-2.0,0.092038,0.001981,0
factorial_high_delay_high_sparsity,0,7,-2.0,0.061596,0.001904,0
factorial_high_delay_high_sparsity,0,8,-2.0,0.05,0.001775,0
factorial_high_delay_high_sparsity,0,9,-2.0,0.05,0.001803,0
factorial_high_delay_high_sparsity,0,10,-2.0,0.05,0.001796,0
factorial_high_delay_high_sparsity,0,11,-2.0,0.05,0.001754,0
factorial_high_delay_high_sparsity,0,12,-2.0,0.05,0.001623,0
factorial_high_delay_high_sparsity,0,13,-2.0,0.05,0.001602,0
factorial_high_delay_high_sparsity,0,14,-2.0,0.05,0.001488,0
factorial_high_delay_high_sparsity,0,15,-2.0,0.05,0.001421,0
factorial_high_delay_high_sparsity,0,16,-2.0,0.05,0.001406,0
factorial_high_delay_high_sparsity,0,17,-2.0,0.05,0.00135,0
factorial_high_delay_high_sparsity,0,18,-2.0,0.05,0.001347,0
factorial_high_delay_high_sparsity,0,19,-2.0,0.05,0.001301,0
factorial_high_delay_high_sparsity,0,20,-2.0,0.05,0.001254,0
factorial_high_delay_high_sparsity,0,21,-2.0,0.05,0.001212,0
factorial_high_delay_high_sparsity,0,22,-2.0,0.05,0.001128,0
factorial_high_delay_high_sparsity,0,23,-2.0,0.05,0.001124,0
factorial_high_delay_high_sparsity,0,24,-2.0,0.05,0.001095,0
factorial_high_delay_high_sparsity,0,25,-2.0,0.05,0.001111,0
factorial_high_delay_high_sparsity,0,26,-2.0,0.05,0.001109,0
factorial_high_delay_high_sparsity,0,27,-2.0,0.05,0.001142,0
factorial_high_delay_high_sparsity,0,28,-2.0,0.05,0.001135,0
factorial_high_delay_high_sparsity,0,29,-2.0,0.05,0.001092,0
factorial_high_delay_high_sparsity,0,30,-2.0,0.05,0.001011,0
factorial_high_delay_high_sparsity,0,31,-2.0,0.05,0.00113,0
factorial_high_delay_high_sparsity,0,32,-2.0,0.05,0.001164,0
factorial_high_delay_high_sparsity,0,33,-2.0,0.05,0.001047,0
factorial_high_delay_high_sparsity,0,34,-0.3,0.05,0.001131,1
factorial_high_delay_high_sparsity,0,35,-0.22,0.05,0.000906,1
factorial_high_delay_high_sparsity,0,36,-0.18,0.05,0.000802,1
factorial_high_delay_high_sparsity,0,37,-0.19,0.05,0.000787,1
factorial_high_delay_high_sparsity,0,38,-1.32,0.05,0.001085,1
factorial_high_delay_high_sparsity,0,39,-0.26,0.05,0.001166,1
factorial_high_delay_high_sparsity,0,40,-0.52,0.05,0.000828,1
factorial_high_delay_high_sparsity,0,41,-2.0,0.05,0.000998,0
factorial_high_delay_high_sparsity,0,42,-2.0,0.05,0.001073,0
factorial_high_delay_high_sparsity,0,43,-2.0,0.05,0.000947,0
factorial_high_delay_high_sparsity,0,44,-2.0,0.05,0.000997,0
factorial_high_delay_high_sparsity,0,45,-2.0,0.05,0.000983,0
factorial_high_delay_high_sparsity,0,46,-2.0,0.05,0.000999,0
factorial_high_delay_high_sparsity,0,47,-2.0,0.05,0.000998,0
factorial_high_delay_high_sparsity,0,48,-2.0,0.05,0.001211,0
factorial_high_delay_high_sparsity,0,49,-2.0,0.05,0.000893,0
factorial_high_delay_high_sparsity,0,50,-2.0,0.05,0.001187,0
factorial_high_delay_high_sparsity,0,51,-2.0,0.05,0.001282,0
factorial_high_delay_high_sparsity,0,52,-2.0,0.05,0.001214,0
factorial_high_delay_high_sparsity,0,53,-2.0,0.05,0.00105,0
factorial_high_delay_high_sparsity,0,54,-2.0,0.05,0.001017,0
factorial_high_delay_high_sparsity,0,55,-2.0,0.05,0.001092,0
factorial_high_delay_high_sparsity,0,56,-2.0,0.05,0.000713,0
factorial_high_delay_high_sparsity,0,57,-2.0,0.05,0.000876,0
factorial_high_delay_high_sparsity,0,58,-2.0,0.05,0.000918,0
factorial_high_delay_high_sparsity,0,59,-2.0,0.05,0.000982,0
factorial_high_delay_high_sparsity,0,60,-2.0,0.05,0.001011,0
factorial_high_delay_high_sparsity,0,61,-2.0,0.05,0.001012,0
factorial_high_delay_high_sparsity,0,62,-2.0,0.05,0.000993,0
factorial_high_delay_high_sparsity,0,63,-2.0,0.05,0.001048,0
factorial_high_delay_high_sparsity,0,64,-2.0,0.05,0.001313,0
factorial_high_delay_high_sparsity,0,65,-2.0,0.05,0.001312,0
factorial_high_delay_high_sparsity,0,66,-2.0,0.05,0.001163,0
factorial_high_delay_high_sparsity,0,67,-2.0,0.05,0.001327,0
factorial_high_delay_high_sparsity,0,68,-2.0,0.05,0.001003,0
factorial_high_delay_high_sparsity,0,69,-2.0,0.05,0.00125,0
factorial_high_delay_high_sparsity,0,70,-2.0,0.05,0.001187,0
factorial_high_delay_high_sparsity,0,71,-2.0,0.05,0.000694,0
factorial_high_delay_high_sparsity,0,72,-2.0,0.05,0.000707,0
factorial_high_delay_high_sparsity,0,73,-2.0,0.05,0.001263,0
factorial_high_delay_high_sparsity,0,74,-2.0,0.05,0.001204,0
factorial_high_delay_high_sparsity,0,75,-2.0,0.05,0.000842,0
factorial_high_delay_high_sparsity,0,76,-2.0,0.05,0.001317,0
