group,condition,seed,x_value,x_label,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
sparsity,sparsity_1.0,0,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.097222,1.0
sparsity,sparsity_1.0,1,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,2,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,3,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,4,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.002849,1.0
sparsity,sparsity_1.0,5,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,6,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,7,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,8,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,9,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.350649,1.0
sparsity,sparsity_1.0,10,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.074074,1.0
sparsity,sparsity_1.0,11,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.129853,1.0
sparsity,sparsity_1.0,12,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,13,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,14,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,15,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.027778,1.0
sparsity,sparsity_1.0,16,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,17,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.278499,1.0
sparsity,sparsity_1.0,18,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,19,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,20,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,21,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,22,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.055556,1.0
sparsity,sparsity_1.0,23,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.156118,1.0
sparsity,sparsity_1.0,24,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,25,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,26,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,27,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,28,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
sparsity,sparsity_1.0,29,0.0,reward_sparse_prob=1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
