phase,seed,episode,reward,epsilon,loss,reached_goal
mechanism_delay_delay_10,10,1,-2.0,0.685565,0.003499,0
mechanism_delay_delay_10,10,2,-2.0,0.458809,0.003737,0
mechanism_delay_delay_10,10,3,-2.0,0.307055,0.00369,0
mechanism_delay_delay_10,10,4,-2.0,0.205494,0.003508,0
mechanism_delay_delay_10,10,5,-2.0,0.137525,0.003078,0
mechanism_delay_delay_10,10,6,-2.0,0.092038,0.002647,0
mechanism_delay_delay_10,10,7,-2.0,0.061596,0.002361,0
mechanism_delay_delay_10,10,8,-2.0,0.05,0.002481,0
mechanism_delay_delay_10,10,9,-2.0,0.05,0.002082,0
mechanism_delay_delay_10,10,10,-2.0,0.05,0.002235,0
mechanism_delay_delay_10,10,11,-2.0,0.05,0.002099,0
mechanism_delay_delay_10,10,12,-2.0,0.05,0.002098,0
mechanism_delay_delay_10,10,13,-2.0,0.05,0.00201,0
mechanism_delay_delay_10,10,14,-2.0,0.05,0.002071,0
mechanism_delay_delay_10,10,15,-2.0,0.05,0.001847,0
mechanism_delay_delay_10,10,16,-2.0,0.05,0.002027,0
mechanism_delay_delay_10,10,17,-2.0,0.05,0.001796,0
mechanism_delay_delay_10,10,18,-2.0,0.05,0.001633,0
mechanism_delay_delay_10,10,19,-2.0,0.05,0.001674,0
mechanism_delay_delay_10,10,20,-2.0,0.05,0.001433,0
mechanism_delay_delay_10,10,21,-2.0,0.05,0.001494,0
mechanism_delay_delay_10,10,22,-2.0,0.05,0.001428,0
mechanism_delay_delay_10,10,23,-2.0,0.05,0.001361,0
mechanism_delay_delay_10,10,24,-2.0,0.05,0.001351,0
mechanism_delay_delay_10,10,25,-2.0,0.05,0.001264,0
mechanism_delay_delay_10,10,26,-2.0,0.05,0.001211,0
mechanism_delay_delay_10,10,27,-2.0,0.05,0.001232,0
mechanism_delay_delay_10,10,28,-2.0,0.05,0.001127,0
mechanism_delay_delay_10,10,29,-2.0,0.05,0.001094,0
mechanism_delay_delay_10,10,30,-2.0,0.05,0.001067,0
mechanism_delay_delay_10,10,31,-2.0,0.05,0.001012,0
mechanism_delay_delay_10,10,32,-2.0,0.05,0.001038,0
mechanism_delay_delay_10,10,33,-2.0,0.05,0.001023,0
mechanism_delay_delay_10,10,34,-2.0,0.05,0.000988,0
mechanism_delay_delay_10,10,35,-2.0,0.05,0.00098,0
mechanism_delay_delay_10,10,36,-2.0,0.05,0.000968,0
mechanism_delay_delay_10,10,37,-2.0,0.05,0.000953,0
mechanism_delay_delay_10,10,38,-2.0,0.05,0.000878,0
mechanism_delay_delay_10,10,39,-2.0,0.05,0.000964,0
mechanism_delay_delay_10,10,40,-2.0,0.05,0.000911,0
mechanism_delay_delay_10,10,41,-2.0,0.05,0.000964,0
mechanism_delay_delay_10,10,42,-2.0,0.05,0.001061,0
mechanism_delay_delay_10,10,43,-2.0,0.05,0.000976,0
mechanism_delay_delay_10,10,44,-2.0,0.05,0.000907,0
mechanism_delay_delay_10,10,45,-2.0,0.05,0.000904,0
